t,x,y,altGps,altBaro,voltage,current,sats,lat,lon
0.0,0.0,0.0,460.6,1.06,12.617,0.102,2,48.6388182,8.942743
0.1,0.0,0.0,460.6,1.163,12.617,0.148,2,48.6388182,8.942743
0.2,-0.01,-0.02,460.6,-0.016,12.617,0.155,2,48.638818,8.9427428
0.3,-0.01,0.0,460.6,0.005,12.617,0.162,2,48.6388182,8.9427428
0.4,0.0,-0.02,460.6,0.061,12.618,0.133,2,48.638818,8.942743
0.5,-0.01,-0.02,460.6,0.016,12.618,0.09,2,48.638818,8.9427428
0.6,-0.01,-0.02,460.6,0.074,12.618,0.061,2,48.638818,8.9427428
0.7,-0.02,-0.02,460.6,0.127,12.619,0.049,2,48.638818,8.9427427
0.8,-0.02,-0.02,460.6,0.069,12.619,0.058,2,48.638818,8.9427427
1.0,-0.02,0.0,460.6,-0.011,12.618,0.054,2,48.6388182,8.9427427
1.1,-0.04,-0.02,460.6,0.048,12.619,0.055,2,48.638818,8.9427425
1.2,-0.04,0.0,460.6,0.008,12.619,0.052,2,48.6388182,8.9427425
1.3,-0.04,0.02,460.6,0.058,12.619,0.049,2,48.6388183,8.9427425
1.4,-0.04,0.0,460.6,0.013,12.618,0.04,2,48.6388182,8.9427425
1.5,-0.04,0.02,460.6,0.127,12.618,0.037,2,48.6388183,8.9427425
1.6,-0.05,0.0,460.6,0.048,12.619,0.036,2,48.6388182,8.9427423
1.7,-0.04,0.02,460.7,-0.074,12.618,0.037,2,48.6388183,8.9427425
1.8,-0.05,0.02,460.7,-0.026,12.618,0.044,2,48.6388183,8.9427423
2.0,-0.05,-0.02,460.6,-0.079,12.619,0.047,2,48.638818,8.9427423
2.1,-0.04,0.02,460.7,-0.037,12.619,0.048,2,48.6388183,8.9427425
2.2,-0.05,0.02,460.7,-0.063,12.618,0.049,2,48.6388183,8.9427423
2.3,-0.05,0.02,460.7,0.008,12.618,0.051,2,48.6388183,8.9427423
2.4,-0.04,0.02,460.7,-0.037,12.618,0.044,2,48.6388183,8.9427425
2.5,-0.05,0.0,460.7,0.143,12.619,0.041,2,48.6388182,8.9427423
2.6,-0.02,0.02,460.7,-0.011,12.619,0.044,2,48.6388183,8.9427427
2.7,-0.04,0.02,460.7,-0.032,12.619,0.048,2,48.6388183,8.9427425
2.8,-0.02,0.02,460.7,0.021,12.619,0.038,2,48.6388183,8.9427427
3.0,-0.02,0.06,460.7,-0.069,12.618,0.039,2,48.6388187,8.9427427
3.1,-0.02,0.02,460.7,-0.042,12.619,0.042,2,48.6388183,8.9427427
3.2,-0.02,0.02,460.7,-0.016,12.618,0.053,2,48.6388183,8.9427427
3.3,-0.01,0.02,460.7,0.011,12.619,0.053,2,48.6388183,8.9427428
3.4,-0.01,0.02,460.7,0.026,12.619,0.049,2,48.6388183,8.9427428
3.5,-0.01,0.02,460.7,0.037,12.618,0.05,2,48.6388183,8.9427428
3.6,0.0,0.04,460.8,-0.048,12.618,0.053,2,48.6388185,8.942743
