t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,460.1,1.221,12.555,0.142,0.22,2,48.638829,8.9427373
0.2,0.01,0.0,460.1,0.0,12.555,0.148,0.44,2,48.638829,8.9427375
0.3,0.0,0.0,460.1,-0.037,12.556,0.189,0.44,2,48.638829,8.9427373
0.4,0.01,0.0,460.0,-0.058,12.556,0.151,0.0,2,48.638829,8.9427375
0.5,0.01,0.0,460.0,0.003,12.557,0.202,0.8,2,48.638829,8.9427375
0.6,0.0,0.02,460.0,-0.074,12.558,0.139,0.0,2,48.6388292,8.9427373
0.7,0.0,0.02,460.0,-0.069,12.558,0.131,0.0,2,48.6388292,8.9427373
0.8,0.0,0.02,460.0,0.092,12.557,0.091,0.44,2,48.6388292,8.9427373
0.9,0.01,0.02,460.0,-0.021,12.557,0.053,0.66,2,48.6388292,8.9427375
1.0,0.01,0.04,460.0,0.0,12.557,0.055,0.33,2,48.6388293,8.9427375
1.2,0.01,0.06,460.0,-0.032,12.557,0.055,0.8,2,48.6388295,8.9427375
1.3,0.02,0.07,460.0,-0.032,12.558,0.052,0.33,2,48.6388297,8.9427377
1.5,0.02,0.06,460.0,-0.005,12.558,0.052,1.4,2,48.6388295,8.9427377
1.6,0.04,0.09,460.0,-0.079,12.557,0.051,0.8,2,48.6388298,8.9427378
1.7,0.05,0.11,460.0,-0.042,12.557,0.068,0.8,2,48.63883,8.942738
1.8,0.06,0.09,459.9,-0.143,12.556,0.144,0.44,2,48.6388298,8.9427382
1.9,0.07,0.09,459.9,-0.153,12.557,0.21,0.0,2,48.6388298,8.9427383
2.0,0.07,0.09,459.9,-0.085,12.557,0.254,0.4,2,48.6388298,8.9427383
2.2,0.09,0.11,459.9,-0.063,12.557,0.146,0.0,2,48.63883,8.9427385
2.3,0.09,0.11,459.9,-0.116,12.558,0.056,0.22,2,48.63883,8.9427385
2.5,0.1,0.11,459.9,0.037,12.558,0.056,0.0,2,48.63883,8.9427387
2.6,0.1,0.11,459.9,-0.095,12.557,0.057,0.44,2,48.63883,8.9427387
2.7,0.11,0.11,459.9,-0.148,12.557,0.059,0.67,2,48.63883,8.9427388
2.8,0.11,0.09,459.8,-0.037,12.557,0.049,1.11,2,48.6388298,8.9427388
2.9,0.13,0.11,459.8,-0.153,12.557,0.054,0.7,2,48.63883,8.9427392
3.1,0.15,0.07,459.8,0.032,12.557,0.058,0.22,2,48.6388297,8.9427393
3.3,0.16,0.07,459.8,-0.1,12.556,0.059,0.44,2,48.6388297,8.9427395
3.4,0.17,0.07,459.8,-0.201,12.557,0.055,0.66,2,48.6388297,8.9427397
3.5,0.17,0.09,459.7,-0.053,12.558,0.05,0.44,2,48.6388298,8.9427397
3.6,0.18,0.09,459.7,-0.032,12.558,0.05,0.8,2,48.6388298,8.9427398
3.7,0.17,0.07,459.7,0.0,12.558,0.054,0.8,2,48.6388297,8.9427397
3.8,0.18,0.09,459.7,-0.042,12.557,0.049,0.0,2,48.6388298,8.9427398
3.9,0.18,0.09,459.7,-0.037,12.558,0.047,0.44,2,48.6388298,8.9427398
4.0,0.2,0.09,459.7,-0.048,12.558,0.045,0.22,2,48.6388298,8.94274
4.2,0.21,0.09,459.7,-0.153,12.557,0.05,0.0,2,48.6388298,8.9427402
4.3,0.21,0.09,459.7,-0.095,12.556,0.05,0.33,2,48.6388298,8.9427402
4.5,0.21,0.07,459.7,-0.026,12.557,0.052,0.8,2,48.6388297,8.9427402
4.6,0.22,0.09,459.7,-0.106,12.557,0.052,0.0,2,48.6388298,8.9427403
4.7,0.22,0.09,459.7,-0.085,12.557,0.058,0.0,2,48.6388298,8.9427403
4.9,0.22,0.09,459.7,-0.042,12.557,0.057,0.0,2,48.6388298,8.9427403
5.1,0.22,0.09,459.7,-0.069,12.557,0.049,0.33,2,48.6388298,8.9427403
5.3,0.22,0.07,459.7,-0.09,12.557,0.052,0.44,2,48.6388297,8.9427403
5.5,0.24,0.07,459.7,-0.116,12.557,0.049,0.44,2,48.6388297,8.9427407
5.6,0.26,0.07,459.7,-0.069,12.557,0.05,0.44,2,48.6388297,8.9427408
5.7,0.27,0.07,459.6,0.011,12.557,0.049,0.44,2,48.6388297,8.942741
5.8,0.28,0.07,459.6,-0.079,12.558,0.048,0.44,2,48.6388297,8.9427412
5.9,0.29,0.07,459.6,0.082,12.558,0.048,0.8,2,48.6388297,8.9427413
6.0,0.31,0.06,459.6,-0.016,12.558,0.05,0.22,2,48.6388295,8.9427415
6.2,0.32,0.06,459.6,-0.122,12.557,0.053,0.0,2,48.6388295,8.9427417
6.4,0.32,0.06,459.6,-0.18,12.558,0.058,0.44,2,48.6388295,8.9427417
6.5,0.33,0.06,459.5,-0.132,12.558,0.063,0.0,2,48.6388295,8.9427418
6.6,0.33,0.06,459.5,-0.085,12.557,0.063,0.22,2,48.6388295,8.9427418
6.8,0.34,0.06,459.5,-0.095,12.557,0.064,0.44,2,48.6388295,8.942742
6.9,0.36,0.06,459.5,-0.09,12.557,0.067,0.0,2,48.6388295,8.9427422
7.0,0.36,0.06,459.5,-0.085,12.557,0.061,0.33,2,48.6388295,8.9427422
7.2,0.36,0.04,459.5,-0.127,12.557,0.05,0.44,2,48.6388293,8.9427422
7.3,0.37,0.04,459.5,-0.143,12.558,0.053,0.67,2,48.6388293,8.9427423
7.4,0.37,0.06,459.5,-0.143,12.558,0.05,0.67,2,48.6388295,8.9427423
7.5,0.37,0.04,459.5,-0.122,12.558,0.055,0.44,2,48.6388293,8.9427423
7.6,0.38,0.04,459.5,-0.005,12.557,0.052,0.44,2,48.6388293,8.9427425
7.7,0.39,0.04,459.5,-0.106,12.557,0.056,0.0,2,48.6388293,8.9427427
7.8,0.39,0.04,459.5,-0.063,12.557,0.057,0.0,2,48.6388293,8.9427427
7.9,0.39,0.04,459.5,-0.148,12.558,0.059,0.0,2,48.6388293,8.9427427
8.0,0.39,0.04,459.5,-0.18,12.558,0.061,0.4,2,48.6388293,8.9427427
8.2,0.4,0.06,459.5,-0.111,12.557,0.06,0.4,2,48.6388295,8.9427428
8.4,0.42,0.04,459.5,-0.058,12.557,0.05,0.66,2,48.6388293,8.942743
8.5,0.42,0.02,459.5,-0.011,12.557,0.051,0.4,2,48.6388292,8.942743
8.7,0.43,0.0,459.4,-0.116,12.558,0.058,0.33,2,48.638829,8.9427432
8.9,0.43,-0.02,459.4,-0.116,12.557,0.062,0.66,2,48.6388288,8.9427432
9.0,0.43,-0.04,459.4,-0.148,12.557,0.064,0.4,2,48.6388287,8.9427432
9.2,0.42,-0.06,459.4,-0.1,12.557,0.053,0.33,2,48.6388285,8.942743
9.4,0.42,-0.07,459.4,-0.122,12.557,0.05,0.0,2,48.6388283,8.942743
9.5,0.42,-0.07,459.4,-0.153,12.557,0.05,0.22,2,48.6388283,8.942743
9.7,0.43,-0.07,459.4,-0.127,12.558,0.053,0.66,2,48.6388283,8.9427432
9.8,0.43,-0.09,459.4,-0.063,12.558,0.055,0.44,2,48.6388282,8.9427432
9.9,0.42,-0.09,459.4,-0.127,12.557,0.055,0.67,2,48.6388282,8.942743
10.0,0.42,-0.11,459.4,-0.069,12.557,0.059,0.0,2,48.638828,8.942743
10.2,0.42,-0.11,459.4,-0.153,12.557,0.052,0.67,2,48.638828,8.942743
10.3,0.42,-0.13,459.4,-0.058,12.558,0.052,0.22,2,48.6388278,8.942743
10.5,0.4,-0.13,459.4,-0.106,12.557,0.062,0.66,2,48.6388278,8.9427428
10.6,0.4,-0.15,459.4,-0.048,12.557,0.06,0.0,2,48.6388277,8.9427428
10.8,0.4,-0.15,459.4,-0.111,12.557,0.055,0.44,2,48.6388277,8.9427428
10.9,0.39,-0.15,459.4,-0.079,12.557,0.057,0.0,2,48.6388277,8.9427427
11.0,0.39,-0.15,459.4,0.003,12.557,0.056,0.22,2,48.6388277,8.9427427
11.2,0.38,-0.15,459.4,-0.005,12.558,0.05,0.33,2,48.6388277,8.9427425
11.4,0.38,-0.17,459.4,-0.063,12.558,0.051,0.67,2,48.6388275,8.9427425
11.5,0.38,-0.19,459.4,-0.153,12.557,0.056,0.22,2,48.6388273,8.9427425
11.7,0.37,-0.19,459.4,-0.122,12.557,0.057,0.0,2,48.6388273,8.9427423
11.9,0.37,-0.19,459.4,-0.148,12.557,0.062,0.8,2,48.6388273,8.9427423
12.0,0.36,-0.2,459.4,-0.185,12.558,0.059,0.0,2,48.6388272,8.9427422
12.2,0.36,-0.2,459.4,-0.1,12.558,0.053,0.22,2,48.6388272,8.9427422
12.4,0.34,-0.2,459.5,-0.122,12.557,0.054,0.0,2,48.6388272,8.942742
12.5,0.34,-0.2,459.5,-0.111,12.557,0.059,0.4,2,48.6388272,8.942742
12.7,0.33,-0.22,459.5,-0.164,12.558,0.058,0.22,2,48.638827,8.9427418
12.9,0.32,-0.22,459.5,-0.238,12.558,0.056,0.44,2,48.638827,8.9427417
13.0,0.31,-0.22,459.5,-0.1,12.556,0.049,0.0,2,48.638827,8.9427415
13.2,0.31,-0.22,459.5,-0.111,12.557,0.045,0.22,2,48.638827,8.9427415
13.4,0.29,-0.22,459.5,-0.164,12.557,0.051,0.44,2,48.638827,8.9427413
13.5,0.28,-0.22,459.5,-0.069,12.557,0.057,0.0,2,48.638827,8.9427412
13.7,0.28,-0.22,459.5,-0.296,12.557,0.065,0.4,2,48.638827,8.9427412
13.9,0.27,-0.24,459.5,-0.106,12.557,0.063,0.0,2,48.6388268,8.942741
14.1,0.27,-0.24,459.5,-0.206,12.557,0.061,0.22,2,48.6388268,8.942741
14.3,0.26,-0.24,459.6,-0.148,12.556,0.059,0.66,2,48.6388268,8.9427408
14.4,0.26,-0.26,459.6,-0.132,12.556,0.063,0.0,2,48.6388267,8.9427408
14.6,0.26,-0.26,459.6,-0.005,12.557,0.054,0.22,2,48.6388267,8.9427408
14.8,0.24,-0.26,459.6,-0.069,12.557,0.048,0.0,2,48.6388267,8.9427407
14.9,0.24,-0.26,459.6,-0.085,12.557,0.047,0.8,2,48.6388267,8.9427407
15.0,0.23,-0.28,459.6,-0.127,12.557,0.052,0.0,2,48.6388265,8.9427405
15.2,0.23,-0.28,459.6,-0.148,12.558,0.052,0.44,2,48.6388265,8.9427405
15.3,0.22,-0.28,459.6,-0.254,12.558,0.054,0.0,2,48.6388265,8.9427403
15.4,0.22,-0.28,459.6,-0.042,12.558,0.052,0.4,2,48.6388265,8.9427403
15.6,0.21,-0.3,459.7,-0.122,12.558,0.048,0.0,2,48.6388263,8.9427402
15.7,0.21,-0.3,459.7,-0.164,12.558,0.054,0.44,2,48.6388263,8.9427402
15.8,0.2,-0.3,459.7,-0.153,12.558,0.051,0.0,2,48.6388263,8.94274
15.9,0.2,-0.3,459.7,-0.174,12.558,0.051,0.44,2,48.6388263,8.94274
16.0,0.18,-0.3,459.7,-0.196,12.557,0.051,0.22,2,48.6388263,8.9427398
16.2,0.17,-0.3,459.7,-0.201,12.558,0.055,0.44,2,48.6388263,8.9427397
16.3,0.16,-0.3,459.7,-0.048,12.557,0.052,0.0,2,48.6388263,8.9427395
16.4,0.16,-0.3,459.7,-0.137,12.558,0.054,0.4,2,48.6388263,8.9427395
16.6,0.15,-0.32,459.7,-0.032,12.558,0.058,0.0,2,48.6388262,8.9427393
16.8,0.15,-0.32,459.7,-0.137,12.557,0.069,0.44,2,48.6388262,8.9427393
16.9,0.13,-0.32,459.8,-0.074,12.557,0.061,0.0,2,48.6388262,8.9427392
17.1,0.13,-0.32,459.8,-0.122,12.557,0.052,0.22,2,48.6388262,8.9427392
17.3,0.12,-0.32,459.8,-0.164,12.557,0.059,0.0,2,48.6388262,8.942739
17.4,0.12,-0.32,459.8,-0.174,12.557,0.052,0.44,2,48.6388262,8.942739
17.5,0.11,-0.32,459.8,-0.143,12.557,0.046,0.0,2,48.6388262,8.9427388
17.7,0.11,-0.32,459.8,-0.169,12.558,0.044,0.67,2,48.6388262,8.9427388
17.8,0.11,-0.33,459.8,-0.137,12.558,0.048,0.22,2,48.638826,8.9427388
18.0,0.1,-0.33,459.8,-0.211,12.558,0.055,0.0,2,48.638826,8.9427387
18.2,0.1,-0.33,459.8,-0.254,12.557,0.058,0.44,2,48.638826,8.9427387
18.3,0.09,-0.33,459.8,-0.164,12.558,0.055,0.0,2,48.638826,8.9427385
18.5,0.09,-0.33,459.8,-0.201,12.557,0.05,0.4,2,48.638826,8.9427385
18.7,0.07,-0.35,459.8,-0.063,12.556,0.054,0.0,2,48.6388258,8.9427383
18.8,0.07,-0.35,459.8,-0.243,12.557,0.055,0.0,2,48.6388258,8.9427383
19.0,0.07,-0.35,459.8,-0.259,12.557,0.06,0.4,2,48.6388258,8.9427383
19.2,0.06,-0.37,459.8,-0.28,12.557,0.059,0.0,2,48.6388257,8.9427382
19.3,0.06,-0.37,459.8,-0.185,12.558,0.06,0.33,2,48.6388257,8.9427382
19.5,0.06,-0.39,459.8,-0.185,12.558,0.055,0.0,2,48.6388255,8.9427382
19.6,0.06,-0.39,459.8,-0.206,12.557,0.058,0.0,2,48.6388255,8.9427382
