t,x,y,altGps,altBaro,voltage,current,sats,lat,lon
0.0,0.0,0.0,459.3,1.694,12.591,0.046,2,48.6388265,8.9427318
0.1,0.02,0.0,459.3,0.048,12.591,0.044,2,48.6388265,8.9427322
0.2,0.02,0.0,459.3,0.066,12.591,0.081,2,48.6388265,8.9427322
0.3,-0.01,0.02,459.3,0.137,12.591,0.112,2,48.6388267,8.9427317
0.4,-0.02,0.06,459.3,-0.011,12.592,0.126,2,48.638827,8.9427315
0.5,-0.02,0.02,459.3,-0.037,12.592,0.077,2,48.6388267,8.9427315
0.6,-0.02,0.0,459.3,0.087,12.592,0.054,2,48.6388265,8.9427315
0.7,-0.01,0.0,459.4,0.045,12.591,0.114,2,48.6388265,8.9427317
0.8,-0.01,-0.02,459.3,0.071,12.591,0.135,2,48.6388263,8.9427317
0.9,-0.01,0.0,459.3,0.0,12.591,0.128,2,48.6388265,8.9427317
1.0,0.0,0.02,459.3,0.148,12.592,0.064,2,48.6388267,8.9427318
1.1,0.0,0.04,459.4,0.182,12.592,0.083,2,48.6388268,8.9427318
1.2,0.01,0.0,459.4,-0.011,12.591,0.154,2,48.6388265,8.942732
1.3,0.0,0.02,459.3,0.026,12.59,0.163,2,48.6388267,8.9427318
1.4,0.02,0.0,459.3,0.156,12.59,0.118,2,48.6388265,8.9427322
1.5,0.01,0.0,459.3,0.058,12.592,0.054,2,48.6388265,8.942732
1.6,0.01,0.0,459.3,0.026,12.592,0.034,2,48.6388265,8.942732
1.7,0.01,-0.02,459.3,0.026,12.593,0.046,2,48.6388263,8.942732
1.8,0.01,0.0,459.3,-0.095,12.592,0.092,2,48.6388265,8.942732
2.0,-0.01,-0.02,459.3,0.071,12.591,0.165,2,48.6388263,8.9427317
2.1,0.01,-0.04,459.4,0.04,12.59,0.211,2,48.6388262,8.942732
2.2,0.0,0.0,459.4,-0.058,12.59,0.211,2,48.6388265,8.9427318
2.3,0.0,0.0,459.4,0.016,12.591,0.153,2,48.6388265,8.9427318
2.4,0.01,-0.02,459.4,0.092,12.592,0.102,2,48.6388263,8.942732
2.5,0.0,-0.02,459.4,0.071,12.592,0.042,2,48.6388263,8.9427318
2.6,0.01,-0.02,459.4,0.103,12.592,0.042,2,48.6388263,8.942732
2.7,0.0,-0.02,459.4,0.129,12.592,0.04,2,48.6388263,8.9427318
2.8,0.0,0.0,459.4,0.087,12.592,0.042,2,48.6388265,8.9427318
3.0,0.0,-0.04,459.3,0.048,12.592,0.043,2,48.6388262,8.9427318
3.1,0.0,-0.04,459.3,0.114,12.592,0.043,2,48.6388262,8.9427318
3.2,0.01,-0.02,459.3,0.087,12.592,0.044,2,48.6388263,8.942732
3.3,0.01,-0.04,459.3,0.079,12.592,0.047,2,48.6388262,8.942732
3.4,0.0,-0.04,459.3,0.032,12.592,0.046,2,48.6388262,8.9427318
3.5,0.01,-0.04,459.3,0.0,12.592,0.039,2,48.6388262,8.942732
3.6,0.0,-0.04,459.3,-0.026,12.592,0.031,2,48.6388262,8.9427318
3.7,0.0,-0.04,459.3,0.09,12.592,0.031,2,48.6388262,8.9427318
3.8,0.01,-0.06,459.3,0.037,12.592,0.035,2,48.638826,8.942732
4.0,0.01,-0.07,459.3,0.116,12.592,0.039,2,48.6388258,8.942732
4.1,0.01,-0.07,459.3,-0.016,12.591,0.038,2,48.6388258,8.942732
4.2,0.0,-0.09,459.3,-0.063,12.591,0.041,2,48.6388257,8.9427318
4.3,-0.01,-0.07,459.3,0.055,12.592,0.038,2,48.6388258,8.9427317
4.4,-0.01,-0.06,459.3,0.114,12.592,0.033,2,48.638826,8.9427317
4.5,-0.01,-0.07,459.2,-0.032,12.592,0.035,2,48.6388258,8.9427317
4.6,0.0,-0.07,459.3,-0.011,12.592,0.035,2,48.6388258,8.9427318
4.7,-0.01,-0.06,459.3,-0.011,12.592,0.039,2,48.638826,8.9427317
4.8,-0.01,-0.06,459.3,-0.063,12.592,0.04,2,48.638826,8.9427317
5.0,0.0,-0.06,459.3,0.048,12.592,0.045,2,48.638826,8.9427318
5.1,-0.02,-0.07,459.3,0.037,12.592,0.037,2,48.6388258,8.9427315
5.2,0.0,-0.07,459.3,0.034,12.591,0.036,2,48.6388258,8.9427318
