t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,459.5,1.292,12.593,-0.003,0.8,2,48.6388325,8.9427307
0.1,0.01,0.02,459.5,0.0,12.591,-0.002,0.67,2,48.6388327,8.9427308
0.2,0.01,0.0,459.5,0.029,12.591,0.002,0.67,2,48.6388325,8.9427308
0.3,0.01,0.02,459.5,0.09,12.59,0.004,0.0,2,48.6388327,8.9427308
0.5,0.01,0.02,459.5,0.119,12.592,-0.0,0.44,2,48.6388327,8.9427308
0.6,0.02,0.02,459.5,0.137,12.593,-0.006,0.0,2,48.6388327,8.942731
0.7,0.02,0.02,459.5,0.048,12.59,-0.002,0.0,2,48.6388327,8.942731
0.8,0.02,0.02,459.5,0.148,12.59,-0.007,0.0,2,48.6388327,8.942731
0.9,0.02,0.02,459.5,0.159,12.59,-0.006,0.0,2,48.6388327,8.942731
1.0,0.02,0.02,459.5,0.124,12.593,-0.002,0.0,2,48.6388327,8.942731
1.1,0.02,0.02,459.5,0.127,12.593,-0.009,0.8,2,48.6388327,8.942731
1.2,0.01,0.04,459.5,0.132,12.593,-0.004,0.0,2,48.6388328,8.9427308
1.3,0.01,0.04,459.5,0.119,12.593,-0.006,0.4,2,48.6388328,8.9427308
1.5,0.02,0.02,459.5,0.238,12.592,0.002,0.44,2,48.6388327,8.942731
1.6,0.04,0.02,459.5,0.185,12.592,0.002,0.44,2,48.6388327,8.9427312
1.7,0.05,0.02,459.5,0.153,12.592,-0.002,0.8,2,48.6388327,8.9427313
1.8,0.06,0.0,459.6,0.129,12.591,-0.002,0.0,2,48.6388325,8.9427315
1.9,0.06,0.0,459.6,0.161,12.592,-0.003,0.67,2,48.6388325,8.9427315
2.0,0.06,0.02,459.6,0.077,12.593,0.002,0.67,2,48.6388327,8.9427315
2.1,0.06,0.0,459.6,0.055,12.592,-0.003,0.44,2,48.6388325,8.9427315
2.2,0.07,0.0,459.6,0.209,12.593,0.003,0.0,2,48.6388325,8.9427317
2.3,0.07,0.0,459.6,0.188,12.592,0.002,0.33,2,48.6388325,8.9427317
2.5,0.07,-0.02,459.6,0.058,12.592,-0.002,0.0,2,48.6388323,8.9427317
2.6,0.07,-0.02,459.6,0.026,12.592,-0.003,0.66,2,48.6388323,8.9427317
2.7,0.07,-0.04,459.6,-0.032,12.593,0.0,0.0,2,48.6388322,8.9427317
2.8,0.07,-0.04,459.6,0.14,12.592,0.0,0.0,2,48.6388322,8.9427317
2.9,0.07,-0.04,459.6,0.116,12.592,-0.001,0.67,2,48.6388322,8.9427317
3.0,0.07,-0.06,459.6,0.034,12.592,-0.004,0.0,2,48.638832,8.9427317
3.1,0.07,-0.06,459.6,0.061,12.592,-0.003,0.0,2,48.638832,8.9427317
3.2,0.07,-0.06,459.6,0.074,12.593,-0.001,0.0,2,48.638832,8.9427317
3.3,0.07,-0.06,459.6,0.09,12.592,-0.003,0.0,2,48.638832,8.9427317
3.5,0.07,-0.06,459.6,0.013,12.591,0.0,0.67,2,48.638832,8.9427317
3.6,0.07,-0.04,459.6,0.063,12.592,-0.001,0.44,2,48.6388322,8.9427317
3.7,0.06,-0.04,459.6,0.129,12.592,-0.0,1.1,2,48.6388322,8.9427315
3.8,0.04,-0.02,459.6,0.111,12.592,0.001,1.4,2,48.6388323,8.9427312
3.9,0.05,-0.06,459.6,0.09,12.592,-0.004,1.11,2,48.638832,8.9427313
4.0,0.07,-0.04,459.6,0.016,12.592,-0.001,1.11,2,48.6388322,8.9427317
4.1,0.05,-0.06,459.5,0.053,12.592,-0.003,0.22,2,48.638832,8.9427313
4.3,0.04,-0.06,459.5,0.153,12.592,0.002,0.55,2,48.638832,8.9427312
4.5,0.01,-0.07,459.5,0.021,12.593,0.003,0.44,2,48.6388318,8.9427308
4.6,0.0,-0.07,459.5,0.018,12.593,0.002,0.0,2,48.6388318,8.9427307
4.8,0.0,-0.07,459.4,0.055,12.593,0.003,0.44,2,48.6388318,8.9427307
4.9,-0.01,-0.07,459.5,0.05,12.592,0.006,0.4,2,48.6388318,8.9427305
5.1,0.0,-0.09,459.5,0.156,12.592,0.01,0.8,2,48.6388317,8.9427307
5.2,0.01,-0.11,459.5,0.135,12.592,0.013,0.0,2,48.6388315,8.9427308
5.4,0.01,-0.11,459.5,0.193,12.592,0.013,0.0,2,48.6388315,8.9427308
5.6,0.01,-0.11,459.5,0.053,12.593,0.006,0.33,2,48.6388315,8.9427308
5.8,0.01,-0.13,459.5,0.098,12.592,0.009,0.0,2,48.6388313,8.9427308
5.9,0.01,-0.13,459.4,0.079,12.592,0.002,0.0,2,48.6388313,8.9427308
6.0,0.01,-0.13,459.4,0.034,12.592,-0.003,0.0,2,48.6388313,8.9427308
6.1,0.01,-0.13,459.4,0.137,12.592,-0.006,0.8,2,48.6388313,8.9427308
6.2,0.02,-0.15,459.4,0.214,12.592,-0.002,0.0,2,48.6388312,8.942731
6.3,0.02,-0.15,459.4,0.082,12.593,0.001,0.0,2,48.6388312,8.942731
6.5,0.02,-0.15,459.4,0.166,12.593,0.002,0.33,2,48.6388312,8.942731
6.7,0.02,-0.17,459.4,-0.026,12.593,-0.008,0.0,2,48.638831,8.942731
6.8,0.02,-0.17,459.4,0.058,12.592,-0.01,0.0,2,48.638831,8.942731
6.9,0.02,-0.17,459.3,0.029,12.592,-0.007,0.33,2,48.638831,8.942731
7.1,0.02,-0.19,459.3,0.082,12.593,0.004,0.0,2,48.6388308,8.942731
7.2,0.02,-0.19,459.3,0.063,12.593,0.005,0.0,2,48.6388308,8.942731
7.3,0.02,-0.19,459.3,-0.016,12.592,0.002,0.33,2,48.6388308,8.942731
7.5,0.02,-0.2,459.2,0.055,12.592,-0.004,0.0,2,48.6388307,8.942731
7.7,0.02,-0.2,459.2,0.116,12.593,-0.004,0.0,2,48.6388307,8.942731
7.8,0.02,-0.2,459.2,0.1,12.593,0.002,0.8,2,48.6388307,8.942731
7.9,0.01,-0.19,459.2,0.037,12.593,0.009,0.67,2,48.6388308,8.9427308
