t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,459.7,0.811,12.603,0.156,0.8,2,48.6388133,8.9427352
0.1,0.01,0.02,459.7,-0.048,12.602,0.2,0.0,2,48.6388135,8.9427353
0.2,0.01,0.02,459.7,-0.032,12.604,0.192,0.0,2,48.6388135,8.9427353
0.3,0.01,0.02,459.7,-0.185,12.605,0.145,0.0,2,48.6388135,8.9427353
0.5,0.01,0.02,459.7,0.008,12.606,0.064,0.67,2,48.6388135,8.9427353
0.6,0.01,0.04,459.7,-0.063,12.607,0.029,0.0,2,48.6388137,8.9427353
0.7,0.01,0.04,459.7,-0.032,12.606,0.026,0.0,2,48.6388137,8.9427353
0.8,0.01,0.04,459.7,0.116,12.606,0.041,0.44,2,48.6388137,8.9427353
0.9,0.02,0.04,459.7,0.0,12.607,0.026,0.8,2,48.6388137,8.9427355
1.0,0.01,0.06,459.7,-0.032,12.607,0.006,0.44,2,48.6388138,8.9427353
1.1,0.02,0.06,459.7,0.016,12.608,-0.006,0.0,2,48.6388138,8.9427355
1.2,0.02,0.06,459.7,-0.042,12.607,-0.009,0.67,2,48.6388138,8.9427355
1.3,0.02,0.07,459.7,-0.063,12.607,-0.003,0.0,2,48.638814,8.9427355
1.5,0.02,0.07,459.7,0.04,12.608,-0.012,0.0,2,48.638814,8.9427355
1.6,0.02,0.07,459.7,0.069,12.609,-0.004,0.67,2,48.638814,8.9427355
1.7,0.02,0.09,459.7,-0.074,12.609,0.004,0.44,2,48.6388142,8.9427355
1.8,0.04,0.09,459.7,-0.005,12.609,0.007,0.8,2,48.6388142,8.9427357
1.9,0.02,0.11,459.7,-0.074,12.608,-0.009,0.0,2,48.6388143,8.9427355
2.0,0.02,0.11,459.7,-0.053,12.607,0.003,0.0,2,48.6388143,8.9427355
2.1,0.02,0.11,459.7,-0.011,12.607,0.01,0.67,2,48.6388143,8.9427355
2.2,0.02,0.13,459.7,0.026,12.607,0.018,0.0,2,48.6388145,8.9427355
2.3,0.02,0.13,459.7,0.021,12.607,0.002,0.33,2,48.6388145,8.9427355
2.5,0.02,0.15,459.7,0.034,12.607,0.002,0.0,2,48.6388147,8.9427355
2.6,0.02,0.15,459.7,0.122,12.606,0.002,0.66,2,48.6388147,8.9427355
2.7,0.02,0.17,459.7,0.185,12.606,0.014,0.0,2,48.6388148,8.9427355
2.8,0.02,0.17,459.7,0.077,12.606,0.009,0.67,2,48.6388148,8.9427355
2.9,0.02,0.19,459.7,-0.048,12.607,0.023,0.0,2,48.638815,8.9427355
3.0,0.02,0.19,459.7,0.055,12.608,0.011,0.0,2,48.638815,8.9427355
3.2,0.02,0.19,459.6,0.016,12.606,0.026,0.67,2,48.638815,8.9427355
3.3,0.02,0.2,459.6,0.048,12.606,0.01,0.33,2,48.6388152,8.9427355
3.5,0.02,0.22,459.6,0.042,12.606,0.008,0.0,2,48.6388153,8.9427355
3.6,0.02,0.22,459.6,-0.026,12.606,0.019,0.0,2,48.6388153,8.9427355
3.7,0.02,0.22,459.6,0.029,12.606,0.012,0.67,2,48.6388153,8.9427355
3.8,0.02,0.24,459.6,-0.032,12.606,0.025,0.0,2,48.6388155,8.9427355
3.9,0.02,0.24,459.6,-0.095,12.606,0.018,0.0,2,48.6388155,8.9427355
4.0,0.02,0.24,459.6,-0.063,12.606,0.026,0.0,2,48.6388155,8.9427355
4.1,0.02,0.24,459.6,-0.074,12.606,0.016,0.67,2,48.6388155,8.9427355
4.2,0.02,0.26,459.6,-0.069,12.607,0.018,0.88,2,48.6388157,8.9427355
4.3,0.0,0.26,459.6,0.037,12.607,0.006,0.4,2,48.6388157,8.9427352
4.5,-0.01,0.28,459.7,-0.026,12.606,0.013,0.0,2,48.6388158,8.942735
4.6,-0.01,0.28,459.7,-0.095,12.607,0.004,0.44,2,48.6388158,8.942735
4.7,0.0,0.28,459.7,-0.164,12.607,0.011,0.67,2,48.6388158,8.9427352
4.8,0.0,0.3,459.7,-0.18,12.607,0.004,0.0,2,48.638816,8.9427352
4.9,0.0,0.3,459.7,-0.122,12.607,0.005,0.0,2,48.638816,8.9427352
5.0,0.0,0.3,459.7,-0.111,12.607,-0.003,0.8,2,48.638816,8.9427352
5.1,0.01,0.32,459.7,-0.095,12.607,0.002,0.0,2,48.6388162,8.9427353
5.2,0.01,0.32,459.7,-0.085,12.607,-0.003,0.0,2,48.6388162,8.9427353
5.3,0.01,0.32,459.7,-0.074,12.607,0.007,0.33,2,48.6388162,8.9427353
5.5,0.01,0.33,459.7,-0.106,12.606,0.001,0.0,2,48.6388163,8.9427353
5.6,0.01,0.33,459.7,-0.153,12.606,-0.003,0.0,2,48.6388163,8.9427353
5.7,0.01,0.33,459.7,-0.063,12.606,0.013,0.67,2,48.6388163,8.9427353
5.8,0.01,0.35,459.7,-0.1,12.606,0.007,0.0,2,48.6388165,8.9427353
5.9,0.01,0.35,459.7,-0.122,12.605,0.009,0.67,2,48.6388165,8.9427353
6.0,0.01,0.37,459.7,-0.026,12.606,-0.003,0.0,2,48.6388167,8.9427353
6.1,0.01,0.37,459.7,-0.127,12.606,0.012,0.0,2,48.6388167,8.9427353
6.2,0.01,0.37,459.7,-0.143,12.607,0.01,0.8,2,48.6388167,8.9427353
6.3,0.0,0.39,459.7,-0.174,12.606,0.023,0.0,2,48.6388168,8.9427352
6.5,0.0,0.39,459.7,-0.206,12.607,0.007,0.67,2,48.6388168,8.9427352
6.6,0.0,0.41,459.7,-0.227,12.608,0.017,0.44,2,48.638817,8.9427352
6.7,-0.01,0.41,459.7,-0.196,12.607,0.012,0.0,2,48.638817,8.942735
6.8,-0.01,0.41,459.7,-0.206,12.607,0.022,0.67,2,48.638817,8.942735
6.9,-0.01,0.43,459.7,-0.248,12.607,0.015,0.0,2,48.6388172,8.942735
7.0,-0.01,0.43,459.7,-0.312,12.607,0.021,0.0,2,48.6388172,8.942735
7.1,-0.01,0.43,459.7,-0.307,12.607,0.009,0.0,2,48.6388172,8.942735
7.2,-0.01,0.43,459.7,-0.333,12.606,0.018,0.0,2,48.6388172,8.942735
7.3,-0.01,0.43,459.7,-0.27,12.606,0.016,0.33,2,48.6388172,8.942735
7.5,-0.01,0.44,459.7,-0.106,12.607,0.007,0.0,2,48.6388173,8.942735
7.7,-0.01,0.44,459.7,-0.27,12.607,0.008,0.0,2,48.6388173,8.942735
7.9,-0.01,0.44,459.7,-0.238,12.606,0.008,0.22,2,48.6388173,8.942735
8.1,-0.02,0.44,459.7,-0.275,12.606,0.005,0.0,2,48.6388173,8.9427348
8.2,-0.02,0.44,459.7,-0.227,12.606,0.006,0.33,2,48.6388173,8.9427348
8.4,-0.02,0.46,459.7,-0.233,12.606,0.002,0.0,2,48.6388175,8.9427348
8.6,-0.02,0.46,459.7,-0.328,12.606,-0.004,0.44,2,48.6388175,8.9427348
8.7,-0.04,0.46,459.7,-0.28,12.606,-0.002,0.33,2,48.6388175,8.9427347
8.9,-0.04,0.48,459.7,-0.243,12.607,0.004,0.0,2,48.6388177,8.9427347
9.1,-0.04,0.48,459.7,-0.301,12.607,0.007,0.0,2,48.6388177,8.9427347
9.2,-0.04,0.48,459.7,-0.254,12.606,0.016,0.0,2,48.6388177,8.9427347
9.4,-0.04,0.48,459.7,-0.169,12.607,0.004,0.22,2,48.6388177,8.9427347
9.6,-0.05,0.48,459.7,-0.217,12.606,0.021,0.0,2,48.6388177,8.9427345
9.7,-0.05,0.48,459.7,-0.18,12.606,0.011,0.66,2,48.6388177,8.9427345
9.8,-0.05,0.5,459.7,-0.196,12.607,0.012,0.22,2,48.6388178,8.9427345
10.0,-0.06,0.5,459.7,-0.264,12.605,0.021,0.22,2,48.6388178,8.9427343
10.2,-0.07,0.5,459.7,-0.28,12.605,0.007,0.33,2,48.6388178,8.9427342
10.4,-0.07,0.52,459.7,-0.238,12.607,0.009,0.22,2,48.638818,8.9427342
10.6,-0.09,0.52,459.7,-0.185,12.606,0.02,0.22,2,48.638818,8.942734
10.8,-0.1,0.52,459.7,-0.196,12.606,0.018,0.0,2,48.638818,8.9427338
11.0,-0.1,0.52,459.7,-0.285,12.606,0.016,0.44,2,48.638818,8.9427338
11.1,-0.11,0.52,459.7,-0.365,12.606,0.014,0.0,2,48.638818,8.9427337
11.2,-0.11,0.52,459.7,-0.386,12.607,0.019,0.22,2,48.638818,8.9427337
11.4,-0.12,0.52,459.7,-0.296,12.607,0.01,0.0,2,48.638818,8.9427335
11.6,-0.12,0.52,459.6,-0.264,12.608,0.002,0.67,2,48.638818,8.9427335
11.7,-0.12,0.54,459.6,-0.217,12.608,0.009,0.22,2,48.6388182,8.9427335
11.9,-0.13,0.54,459.6,-0.09,12.608,0.024,0.0,2,48.6388182,8.9427333
12.1,-0.13,0.54,459.6,-0.233,12.607,0.032,0.0,2,48.6388182,8.9427333
12.2,-0.13,0.54,459.6,-0.307,12.606,0.017,0.0,2,48.6388182,8.9427333
12.4,-0.13,0.54,459.6,-0.259,12.606,0.013,0.0,2,48.6388182,8.9427333
12.6,-0.13,0.54,459.6,-0.254,12.606,0.021,0.0,2,48.6388182,8.9427333
12.7,-0.13,0.54,459.6,-0.254,12.607,0.014,0.4,2,48.6388182,8.9427333
12.9,-0.15,0.56,459.6,-0.206,12.606,0.016,0.0,2,48.6388183,8.9427332
13.1,-0.15,0.56,459.6,-0.238,12.606,0.018,0.0,2,48.6388183,8.9427332
13.3,-0.15,0.56,459.6,-0.365,12.607,0.019,0.22,2,48.6388183,8.9427332
13.5,-0.16,0.56,459.6,-0.328,12.607,0.013,0.0,2,48.6388183,8.942733
13.6,-0.16,0.56,459.6,-0.206,12.607,0.004,0.0,2,48.6388183,8.942733
13.8,-0.16,0.56,459.6,-0.254,12.606,0.011,0.0,2,48.6388183,8.942733
14.0,-0.16,0.56,459.5,-0.333,12.607,0.01,0.8,2,48.6388183,8.942733
14.1,-0.17,0.57,459.5,-0.243,12.606,0.013,0.0,2,48.6388185,8.9427328
14.3,-0.17,0.57,459.5,-0.322,12.607,0.015,0.0,2,48.6388185,8.9427328
14.5,-0.17,0.57,459.5,-0.275,12.606,0.015,0.44,2,48.6388185,8.9427328
14.6,-0.18,0.57,459.5,-0.254,12.607,0.014,0.0,2,48.6388185,8.9427327
14.8,-0.18,0.57,459.5,-0.264,12.607,0.007,0.0,2,48.6388185,8.9427327
15.0,-0.18,0.57,459.5,-0.275,12.607,0.016,0.44,2,48.6388185,8.9427327
15.1,-0.2,0.57,459.5,-0.307,12.606,0.017,0.0,2,48.6388185,8.9427325
15.3,-0.2,0.57,459.5,-0.217,12.606,0.001,0.0,2,48.6388185,8.9427325
15.5,-0.2,0.57,459.5,-0.259,12.606,0.005,0.0,2,48.6388185,8.9427325
15.6,-0.2,0.57,459.5,-0.254,12.606,0.019,0.4,2,48.6388185,8.9427325
15.8,-0.21,0.59,459.4,-0.227,12.606,0.023,0.0,2,48.6388187,8.9427323
15.9,-0.21,0.59,459.4,-0.233,12.606,0.023,0.0,2,48.6388187,8.9427323
16.0,-0.21,0.59,459.4,-0.37,12.606,0.019,0.0,2,48.6388187,8.9427323
16.1,-0.21,0.59,459.4,-0.19,12.606,0.021,0.8,2,48.6388187,8.9427323
16.2,-0.2,0.57,459.4,-0.217,12.606,0.013,0.0,2,48.6388185,8.9427325
16.4,-0.2,0.57,459.4,-0.238,12.606,0.01,0.4,2,48.6388185,8.9427325
16.6,-0.18,0.56,459.4,-0.248,12.605,0.024,0.0,2,48.6388183,8.9427327
16.7,-0.18,0.56,459.4,-0.254,12.606,0.027,0.0,2,48.6388183,8.9427327
16.8,-0.18,0.56,459.4,-0.264,12.606,0.025,0.22,2,48.6388183,8.9427327
17.0,-0.17,0.56,459.4,-0.185,12.606,0.02,0.0,2,48.6388183,8.9427328
17.1,-0.17,0.56,459.4,-0.217,12.607,0.011,0.44,2,48.6388183,8.9427328
17.3,-0.15,0.56,459.4,-0.28,12.606,0.008,0.33,2,48.6388183,8.9427332
17.5,-0.15,0.54,459.4,-0.206,12.605,0.022,0.44,2,48.6388182,8.9427332
17.6,-0.13,0.54,459.4,-0.196,12.605,0.02,0.44,2,48.6388182,8.9427333
