t,x,y,altGps,altBaro,voltage,current,sats,lat,lon
0.0,0.0,0.0,458.5,-1.215,12.443,0.069,2,48.6388255,8.9427523
0.1,0.01,0.0,458.5,0.071,12.444,0.067,2,48.6388255,8.9427525
0.2,0.01,0.0,458.5,0.074,12.444,0.059,2,48.6388255,8.9427525
0.3,0.01,-0.02,458.5,-0.021,12.446,0.057,2,48.6388253,8.9427525
0.4,0.01,-0.02,458.5,-0.042,12.447,0.055,2,48.6388253,8.9427525
0.5,0.0,-0.02,458.5,-0.016,12.446,0.061,2,48.6388253,8.9427523
0.6,0.0,-0.02,458.5,-0.079,12.444,0.235,2,48.6388253,8.9427523
0.7,-0.01,-0.02,458.5,-0.079,12.438,0.434,2,48.6388253,8.9427522
0.8,-0.01,0.0,458.5,-0.074,12.429,0.999,2,48.6388255,8.9427522
1.0,-0.01,0.0,458.5,-0.111,12.431,0.964,2,48.6388255,8.9427522
1.2,-0.01,0.04,458.5,-0.026,12.439,0.68,2,48.6388258,8.9427522
1.3,-0.01,0.04,458.5,-0.032,12.44,0.451,2,48.6388258,8.9427522
1.4,-0.04,0.04,458.5,0.055,12.443,0.112,2,48.6388258,8.9427518
1.5,-0.02,0.06,458.5,-0.079,12.445,0.057,2,48.638826,8.942752
1.7,-0.04,0.06,458.5,-0.132,12.446,0.055,2,48.638826,8.9427518
1.8,-0.04,0.07,458.5,-0.005,12.444,0.059,2,48.6388262,8.9427518
2.0,-0.04,0.07,458.5,0.079,12.443,0.065,2,48.6388262,8.9427518
2.1,-0.04,0.06,458.5,-0.042,12.445,0.061,2,48.638826,8.9427518
2.2,-0.04,0.06,458.5,-0.037,12.445,0.059,2,48.638826,8.9427518
2.3,-0.04,0.07,458.6,-0.095,12.446,0.053,2,48.6388262,8.9427518
2.4,-0.02,0.07,458.6,-0.106,12.445,0.053,2,48.6388262,8.942752
2.5,-0.02,0.07,458.6,-0.095,12.445,0.053,2,48.6388262,8.942752
2.6,-0.04,0.07,458.6,-0.122,12.446,0.05,2,48.6388262,8.9427518
2.7,-0.02,0.07,458.6,-0.021,12.446,0.05,2,48.6388262,8.942752
2.8,-0.02,0.09,458.6,-0.032,12.445,0.053,2,48.6388263,8.942752
3.0,-0.02,0.07,458.6,-0.016,12.442,0.061,2,48.6388262,8.942752
3.1,-0.01,0.09,458.6,-0.026,12.442,0.061,2,48.6388263,8.9427522
3.2,-0.02,0.09,458.6,-0.011,12.446,0.059,2,48.6388263,8.942752
3.3,-0.02,0.09,458.6,0.1,12.448,0.062,2,48.6388263,8.942752
3.4,-0.02,0.09,458.6,-0.011,12.448,0.058,2,48.6388263,8.942752
3.5,-0.02,0.11,458.6,0.071,12.447,0.059,2,48.6388265,8.942752
3.6,-0.02,0.11,458.7,0.016,12.447,0.059,2,48.6388265,8.942752
3.7,-0.02,0.09,458.7,-0.042,12.446,0.06,2,48.6388263,8.942752
3.8,-0.04,0.11,458.7,-0.042,12.447,0.061,2,48.6388265,8.9427518
3.9,-0.04,0.11,458.7,0.005,12.446,0.059,2,48.6388265,8.9427518
4.0,-0.04,0.11,458.7,0.066,12.446,0.057,2,48.6388265,8.9427518
4.1,-0.04,0.11,458.7,0.016,12.446,0.056,2,48.6388265,8.9427518
4.2,-0.04,0.11,458.7,-0.048,12.446,0.052,2,48.6388265,8.9427518
4.3,-0.05,0.11,458.7,-0.021,12.447,0.051,2,48.6388265,8.9427517
4.4,-0.04,0.11,458.7,0.037,12.446,0.055,2,48.6388265,8.9427518
4.5,-0.04,0.13,458.8,-0.021,12.445,0.059,2,48.6388267,8.9427518
4.6,-0.04,0.13,458.8,-0.053,12.445,0.058,2,48.6388267,8.9427518
4.7,-0.04,0.13,458.8,-0.069,12.445,0.053,2,48.6388267,8.9427518
4.8,-0.04,0.13,458.8,-0.005,12.446,0.05,2,48.6388267,8.9427518
5.0,-0.05,0.13,458.8,0.026,12.446,0.047,2,48.6388267,8.9427517
5.1,-0.05,0.13,458.8,-0.063,12.443,0.056,2,48.6388267,8.9427517
5.2,-0.05,0.13,458.8,0.016,12.443,0.056,2,48.6388267,8.9427517
5.3,-0.06,0.13,458.9,0.14,12.444,0.061,2,48.6388267,8.9427515
5.4,-0.05,0.15,458.9,-0.132,12.448,0.061,2,48.6388268,8.9427517
5.5,-0.06,0.15,458.9,-0.122,12.449,0.069,2,48.6388268,8.9427515
5.6,-0.07,0.15,458.9,-0.132,12.447,0.07,2,48.6388268,8.9427513
5.7,-0.06,0.15,458.9,0.058,12.446,0.073,2,48.6388268,8.9427515
5.8,-0.06,0.15,458.9,-0.011,12.446,0.062,2,48.6388268,8.9427515
6.0,-0.07,0.15,458.9,0.008,12.446,0.054,2,48.6388268,8.9427513
6.1,-0.07,0.15,458.9,0.042,12.445,0.052,2,48.6388268,8.9427513
6.2,-0.07,0.15,458.9,0.05,12.444,0.058,2,48.6388268,8.9427513
6.3,-0.07,0.15,458.9,0.066,12.445,0.061,2,48.6388268,8.9427513
6.4,-0.09,0.15,458.9,0.018,12.446,0.064,2,48.6388268,8.9427512
6.5,-0.07,0.17,458.9,-0.011,12.446,0.056,2,48.638827,8.9427513
6.6,-0.09,0.17,458.9,0.005,12.446,0.054,2,48.638827,8.9427512
6.7,-0.09,0.17,458.9,-0.042,12.445,0.053,2,48.638827,8.9427512
6.8,-0.09,0.17,458.9,0.04,12.445,0.052,2,48.638827,8.9427512
7.0,-0.07,0.19,459.0,0.011,12.445,0.051,2,48.6388272,8.9427513
7.1,-0.1,0.17,459.0,0.092,12.446,0.053,2,48.638827,8.942751
7.2,-0.09,0.19,459.0,0.172,12.444,0.055,2,48.6388272,8.9427512
7.3,-0.1,0.17,459.0,0.201,12.443,0.053,2,48.638827,8.942751
7.4,-0.1,0.17,459.0,0.061,12.443,0.057,2,48.638827,8.942751
7.5,-0.11,0.17,459.0,0.111,12.446,0.061,2,48.638827,8.9427508
7.6,-0.11,0.15,459.0,-0.063,12.449,0.063,2,48.6388268,8.9427508
7.7,-0.12,0.15,459.0,0.1,12.449,0.062,2,48.6388268,8.9427507
7.8,-0.11,0.15,459.0,0.016,12.446,0.057,2,48.6388268,8.9427508
8.0,-0.1,0.17,459.0,0.005,12.445,0.061,2,48.638827,8.942751
8.1,-0.07,0.17,459.1,-0.074,12.446,0.063,2,48.638827,8.9427513
8.2,-0.06,0.17,459.1,-0.063,12.446,0.061,2,48.638827,8.9427515
8.3,-0.06,0.17,459.1,0.037,12.447,0.056,2,48.638827,8.9427515
8.4,-0.06,0.17,459.1,0.092,12.446,0.058,2,48.638827,8.9427515
8.5,-0.04,0.15,459.1,0.0,12.447,0.057,2,48.6388268,8.9427518
8.6,-0.02,0.15,459.1,-0.032,12.447,0.058,2,48.6388268,8.942752
8.7,-0.01,0.15,459.2,0.079,12.448,0.058,2,48.6388268,8.9427522
8.8,0.01,0.15,459.2,0.09,12.446,0.057,2,48.6388268,8.9427525
9.0,0.01,0.11,459.2,-0.095,12.444,0.064,2,48.6388265,8.9427525
9.1,0.04,0.11,459.2,0.029,12.445,0.067,2,48.6388265,8.9427528
9.2,0.06,0.11,459.3,-0.053,12.445,0.062,2,48.6388265,8.9427532
9.3,0.06,0.09,459.3,0.018,12.446,0.055,2,48.6388263,8.9427532
9.4,0.07,0.09,459.3,-0.079,12.444,0.053,2,48.6388263,8.9427533
9.5,0.07,0.09,459.3,-0.053,12.444,0.055,2,48.6388263,8.9427533
9.6,0.09,0.09,459.3,-0.037,12.444,0.053,2,48.6388263,8.9427535
9.7,0.1,0.09,459.3,-0.021,12.448,0.047,2,48.6388263,8.9427537
9.8,0.11,0.11,459.4,0.0,12.448,0.047,2,48.6388265,8.9427538
10.0,0.12,0.09,459.4,-0.058,12.446,0.06,2,48.6388263,8.942754
10.1,0.12,0.11,459.4,-0.1,12.444,0.062,2,48.6388265,8.942754
10.2,0.13,0.09,459.4,-0.032,12.445,0.064,2,48.6388263,8.9427542
10.3,0.15,0.09,459.4,-0.053,12.446,0.063,2,48.6388263,8.9427543
10.4,0.15,0.09,459.4,-0.005,12.447,0.065,2,48.6388263,8.9427543
10.5,0.16,0.09,459.4,-0.021,12.443,0.327,2,48.6388263,8.9427545
10.6,0.16,0.09,459.5,0.048,12.443,0.331,2,48.6388263,8.9427545
10.7,0.17,0.09,459.5,0.008,12.443,0.323,2,48.6388263,8.9427547
10.8,0.17,0.09,459.5,0.055,12.447,0.053,2,48.6388263,8.9427547
11.0,0.17,0.07,459.5,-0.032,12.445,0.052,2,48.6388262,8.9427547
11.1,0.17,0.07,459.5,-0.005,12.444,0.054,2,48.6388262,8.9427547
11.2,0.18,0.07,459.5,-0.011,12.444,0.055,2,48.6388262,8.9427548
11.3,0.18,0.07,459.6,0.029,12.446,0.05,2,48.6388262,8.9427548
11.4,0.18,0.07,459.6,-0.09,12.447,0.046,2,48.6388262,8.9427548
11.5,0.18,0.06,459.6,-0.011,12.443,0.047,2,48.638826,8.9427548
11.6,0.2,0.06,459.6,-0.079,12.442,0.052,2,48.638826,8.942755
11.7,0.2,0.06,459.6,-0.037,12.442,0.056,2,48.638826,8.942755
11.8,0.21,0.06,459.6,-0.026,12.447,0.066,2,48.638826,8.9427552
12.0,0.21,0.04,459.6,-0.169,12.448,0.064,2,48.6388258,8.9427552
12.1,0.21,0.04,459.6,-0.106,12.446,0.061,2,48.6388258,8.9427552
12.2,0.22,0.04,459.6,-0.016,12.445,0.053,2,48.6388258,8.9427553
12.3,0.22,0.04,459.7,0.042,12.446,0.055,2,48.6388258,8.9427553
12.4,0.22,0.02,459.7,-0.021,12.446,0.054,2,48.6388257,8.9427553
12.5,0.22,0.02,459.7,-0.053,12.445,0.061,2,48.6388257,8.9427553
12.6,0.23,0.02,459.7,-0.095,12.444,0.061,2,48.6388257,8.9427555
12.7,0.24,0.02,459.7,-0.016,12.445,0.056,2,48.6388257,8.9427557
12.8,0.24,0.0,459.7,-0.053,12.446,0.051,2,48.6388255,8.9427557
12.9,0.26,0.0,459.7,-0.032,12.447,0.049,2,48.6388255,8.9427558
13.0,0.27,0.02,459.7,-0.032,12.446,0.048,2,48.6388257,8.942756
13.1,0.28,0.04,459.7,-0.074,12.445,0.049,2,48.6388258,8.9427562
13.2,0.29,0.04,459.7,-0.095,12.445,0.05,2,48.6388258,8.9427563
13.3,0.29,0.04,459.7,-0.111,12.445,0.056,2,48.6388258,8.9427563
13.4,0.31,0.04,459.7,-0.048,12.446,0.063,2,48.6388258,8.9427565
13.5,0.32,0.04,459.7,-0.079,12.448,0.061,2,48.6388258,8.9427567
13.6,0.32,0.06,459.7,-0.069,12.446,0.061,2,48.638826,8.9427567
13.7,0.33,0.06,459.7,-0.111,12.444,0.059,2,48.638826,8.9427568
13.8,0.34,0.06,459.8,-0.005,12.443,0.056,2,48.638826,8.942757
14.0,0.33,0.04,459.8,0.024,12.446,0.055,2,48.6388258,8.9427568
14.1,0.34,0.06,459.8,0.098,12.447,0.053,2,48.638826,8.942757
14.2,0.36,0.06,459.8,0.016,12.447,0.052,2,48.638826,8.9427572
14.3,0.37,0.07,459.8,0.018,12.446,0.052,2,48.6388262,8.9427573
14.4,0.37,0.07,459.8,0.04,12.446,0.053,2,48.6388262,8.9427573
14.5,0.38,0.07,459.8,0.122,12.447,0.057,2,48.6388262,8.9427575
14.6,0.39,0.07,459.8,-0.085,12.447,0.056,2,48.6388262,8.9427577
14.7,0.39,0.07,459.8,-0.074,12.446,0.057,2,48.6388262,8.9427577
14.8,0.4,0.09,459.8,-0.011,12.445,0.048,2,48.6388263,8.9427578
14.9,0.42,0.09,459.8,0.008,12.445,0.048,2,48.6388263,8.942758
15.0,0.43,0.09,459.8,0.021,12.446,0.043,2,48.6388263,8.9427582
15.1,0.43,0.11,459.8,0.003,12.447,0.048,2,48.6388265,8.9427582
15.2,0.44,0.11,459.9,-0.037,12.446,0.053,2,48.6388265,8.9427583
15.3,0.45,0.11,459.9,0.026,12.445,0.056,2,48.6388265,8.9427585
15.4,0.47,0.13,459.9,-0.037,12.445,0.053,2,48.6388267,8.9427587
15.5,0.47,0.13,459.9,-0.042,12.446,0.053,2,48.6388267,8.9427587
15.6,0.47,0.13,459.9,-0.074,12.447,0.051,2,48.6388267,8.9427587
15.7,0.48,0.13,459.9,-0.159,12.446,0.049,2,48.6388267,8.9427588
15.8,0.48,0.13,459.9,-0.063,12.443,0.051,2,48.6388267,8.9427588
15.9,0.48,0.11,459.9,-0.148,12.442,0.054,2,48.6388265,8.9427588
16.0,0.49,0.13,459.9,-0.079,12.443,0.059,2,48.6388267,8.942759
16.1,0.49,0.13,459.9,-0.1,12.446,0.063,2,48.6388267,8.942759
16.2,0.5,0.13,459.9,-0.069,12.448,0.059,2,48.6388267,8.9427592
16.3,0.5,0.13,459.9,-0.021,12.448,0.059,2,48.6388267,8.9427592
16.4,0.51,0.13,459.9,0.082,12.447,0.056,2,48.6388267,8.9427593
16.5,0.53,0.15,459.9,0.016,12.446,0.058,2,48.6388268,8.9427595
16.6,0.53,0.15,459.9,-0.021,12.446,0.051,2,48.6388268,8.9427595
16.7,0.54,0.15,459.9,0.026,12.446,0.048,2,48.6388268,8.9427597
16.8,0.54,0.15,460.0,-0.032,12.446,0.049,2,48.6388268,8.9427597
17.0,0.54,0.13,460.0,-0.116,12.444,0.054,2,48.6388267,8.9427597
17.1,0.55,0.15,460.0,-0.185,12.445,0.055,2,48.6388268,8.9427598
17.2,0.56,0.15,460.0,-0.053,12.445,0.054,2,48.6388268,8.94276
17.3,0.58,0.15,460.0,-0.153,12.447,0.053,2,48.6388268,8.9427602
17.4,0.58,0.15,460.0,-0.079,12.446,0.05,2,48.6388268,8.9427602
17.5,0.59,0.17,460.0,-0.095,12.445,0.052,2,48.638827,8.9427603
17.6,0.59,0.15,460.0,-0.153,12.445,0.055,2,48.6388268,8.9427603
17.7,0.59,0.15,460.0,-0.116,12.445,0.057,2,48.6388268,8.9427603
17.8,0.59,0.15,460.0,-0.132,12.445,0.057,2,48.6388268,8.9427603
18.0,0.6,0.15,460.0,-0.111,12.443,0.062,2,48.6388268,8.9427605
18.1,0.61,0.15,460.0,-0.111,12.442,0.059,2,48.6388268,8.9427607
18.2,0.62,0.15,460.0,-0.095,12.442,0.061,2,48.6388268,8.9427608
18.3,0.64,0.15,460.0,-0.053,12.446,0.056,2,48.6388268,8.942761
18.4,0.64,0.15,460.0,-0.196,12.448,0.06,2,48.6388268,8.942761
18.5,0.65,0.15,460.0,-0.217,12.448,0.057,2,48.6388268,8.9427612
18.6,0.66,0.17,460.0,-0.159,12.447,0.059,2,48.638827,8.9427613
18.7,0.66,0.15,460.0,-0.021,12.446,0.054,2,48.6388268,8.9427613
18.8,0.66,0.15,460.0,-0.164,12.446,0.064,2,48.6388268,8.9427613
18.9,0.66,0.15,460.0,-0.111,12.446,0.061,2,48.6388268,8.9427613
19.0,0.66,0.13,460.0,-0.074,12.446,0.06,2,48.6388267,8.9427613
19.1,0.66,0.13,460.0,-0.042,12.445,0.057,2,48.6388267,8.9427613
19.2,0.66,0.13,460.0,-0.174,12.445,0.06,2,48.6388267,8.9427613
19.3,0.66,0.13,460.0,-0.106,12.445,0.057,2,48.6388267,8.9427613
19.4,0.66,0.13,460.0,-0.09,12.446,0.061,2,48.6388267,8.9427613
19.6,0.67,0.09,460.0,-0.1,12.445,0.062,2,48.6388263,8.9427615
19.7,0.66,0.09,460.0,-0.206,12.445,0.059,2,48.6388263,8.9427613
19.8,0.67,0.09,460.0,-0.106,12.446,0.066,2,48.6388263,8.9427615
20.0,0.66,0.07,460.0,0.058,12.446,0.067,2,48.6388262,8.9427613
20.1,0.65,0.07,460.0,-0.016,12.445,0.068,2,48.6388262,8.9427612
20.2,0.66,0.07,460.0,-0.095,12.443,0.063,2,48.6388262,8.9427613
20.3,0.65,0.07,460.0,-0.116,12.443,0.058,2,48.6388262,8.9427612
20.4,0.65,0.07,460.0,-0.026,12.443,0.05,2,48.6388262,8.9427612
20.5,0.66,0.07,460.1,0.042,12.448,0.05,2,48.6388262,8.9427613
20.6,0.65,0.06,460.1,0.061,12.448,0.049,2,48.638826,8.9427612
20.7,0.65,0.04,460.1,0.005,12.448,0.051,2,48.6388258,8.9427612
20.8,0.65,0.04,460.1,-0.032,12.442,0.276,2,48.6388258,8.9427612
21.0,0.62,0.06,460.0,-0.074,12.442,0.28,2,48.638826,8.9427608
21.1,0.62,0.02,460.0,-0.111,12.442,0.261,2,48.6388257,8.9427608
21.2,0.64,0.04,460.0,-0.111,12.446,0.05,2,48.6388258,8.942761
21.3,0.65,0.04,460.1,-0.026,12.446,0.051,2,48.6388258,8.9427612
21.4,0.64,0.02,460.1,-0.09,12.446,0.053,2,48.6388257,8.942761
21.5,0.64,0.02,460.1,-0.058,12.446,0.055,2,48.6388257,8.942761
21.6,0.62,0.02,460.1,-0.063,12.446,0.056,2,48.6388257,8.9427608
21.7,0.62,-0.02,460.1,-0.079,12.446,0.054,2,48.6388253,8.9427608
21.8,0.62,-0.02,460.1,0.077,12.445,0.053,2,48.6388253,8.9427608
22.0,0.62,-0.04,460.1,-0.021,12.445,0.053,2,48.6388252,8.9427608
22.1,0.64,-0.06,460.1,0.095,12.446,0.056,2,48.638825,8.942761
22.2,0.62,-0.06,460.1,0.055,12.447,0.054,2,48.638825,8.9427608
22.3,0.62,-0.07,460.1,-0.021,12.442,0.058,2,48.6388248,8.9427608
22.4,0.64,-0.09,460.1,-0.037,12.441,0.057,2,48.6388247,8.942761
