t,x,y,altGps,altBaro,voltage,current,sats,lat,lon
0.0,0.0,0.0,459.4,2.344,12.587,0.061,2,48.6388365,8.9427358
0.1,-0.02,0.02,459.4,2.307,12.586,0.063,2,48.6388367,8.9427355
0.3,-0.02,0.02,459.4,0.092,12.588,0.055,2,48.6388367,8.9427355
0.4,-0.02,0.02,459.4,0.211,12.589,0.041,2,48.6388367,8.9427355
0.5,-0.04,0.02,459.3,0.127,12.589,0.031,2,48.6388367,8.9427353
0.6,-0.04,0.02,459.3,0.169,12.589,0.026,2,48.6388367,8.9427353
0.8,-0.05,0.0,459.3,0.169,12.589,0.02,2,48.6388365,8.9427352
1.0,-0.05,0.0,459.3,0.066,12.589,0.027,2,48.6388365,8.9427352
1.1,-0.06,0.0,459.3,0.156,12.588,0.028,2,48.6388365,8.942735
1.3,-0.06,0.0,459.3,0.196,12.588,0.033,2,48.6388365,8.942735
1.5,-0.07,0.0,459.3,0.217,12.588,0.027,2,48.6388365,8.9427348
1.6,-0.07,0.0,459.3,0.159,12.589,0.031,2,48.6388365,8.9427348
1.8,-0.09,0.02,459.3,0.063,12.589,0.032,2,48.6388367,8.9427347
1.9,-0.09,0.0,459.3,0.092,12.588,0.035,2,48.6388365,8.9427347
2.1,-0.07,-0.02,459.3,0.087,12.589,0.021,2,48.6388363,8.9427348
2.3,-0.07,-0.02,459.3,0.011,12.589,0.02,2,48.6388363,8.9427348
2.5,-0.06,0.0,459.3,0.079,12.588,0.023,2,48.6388365,8.942735
2.6,-0.07,0.0,459.3,0.005,12.589,0.022,2,48.6388365,8.9427348
2.8,-0.07,0.0,459.3,0.055,12.589,0.025,2,48.6388365,8.9427348
3.0,-0.07,-0.02,459.3,0.132,12.589,0.03,2,48.6388363,8.9427348
3.1,-0.09,0.0,459.3,0.082,12.589,0.037,2,48.6388365,8.9427347
3.3,-0.09,0.0,459.3,-0.026,12.589,0.028,2,48.6388365,8.9427347
3.5,-0.12,0.0,459.3,0.0,12.589,0.018,2,48.6388365,8.9427342
3.6,-0.12,0.0,459.3,-0.011,12.588,0.024,2,48.6388365,8.9427342
3.8,-0.13,0.0,459.4,0.188,12.588,0.027,2,48.6388365,8.942734
4.0,-0.16,0.02,459.5,0.201,12.588,0.026,2,48.6388367,8.9427337
4.1,-0.16,0.02,459.6,0.285,12.589,0.032,2,48.6388367,8.9427337
4.3,-0.18,0.0,459.7,0.312,12.589,0.032,2,48.6388365,8.9427333
4.4,-0.18,-0.02,459.7,0.373,12.588,0.028,2,48.6388363,8.9427333
4.5,-0.18,-0.04,459.7,0.436,12.589,0.024,2,48.6388362,8.9427333
4.6,-0.17,-0.02,459.8,0.42,12.589,0.025,2,48.6388363,8.9427335
4.7,-0.17,-0.02,459.8,0.457,12.588,0.027,2,48.6388363,8.9427335
4.8,-0.17,-0.02,459.8,0.431,12.588,0.025,2,48.6388363,8.9427335
4.9,-0.16,0.0,459.9,0.391,12.588,0.027,2,48.6388365,8.9427337
5.0,-0.16,0.0,459.9,0.518,12.589,0.029,2,48.6388365,8.9427337
5.1,-0.15,0.02,459.9,0.661,12.589,0.032,2,48.6388367,8.9427338
5.3,-0.13,0.02,459.9,0.513,12.588,0.03,2,48.6388367,8.942734
5.4,-0.13,0.04,460.0,0.542,12.588,0.026,2,48.6388368,8.942734
5.5,-0.12,0.04,460.0,0.692,12.588,0.023,2,48.6388368,8.9427342
5.7,-0.11,0.02,460.0,0.624,12.589,0.02,2,48.6388367,8.9427343
5.9,-0.11,0.0,460.0,0.626,12.588,0.025,2,48.6388365,8.9427343
6.0,-0.11,-0.02,460.0,0.47,12.588,0.021,2,48.6388363,8.9427343
6.1,-0.11,-0.02,460.0,0.499,12.589,0.029,2,48.6388363,8.9427343
6.4,-0.15,-0.07,460.0,0.576,12.59,0.03,2,48.6388358,8.9427338
6.5,-0.16,-0.11,460.0,0.663,12.589,0.032,2,48.6388355,8.9427337
6.7,-0.23,-0.19,460.0,0.573,12.588,0.041,2,48.6388348,8.9427327
6.9,-0.29,-0.28,460.0,0.618,12.589,0.032,2,48.638834,8.9427318
7.0,-0.33,-0.33,460.0,0.634,12.589,0.025,2,48.6388335,8.9427313
7.2,-0.4,-0.46,460.0,0.637,12.589,0.033,2,48.6388323,8.9427303
7.5,-0.54,-0.63,460.0,0.724,12.588,0.032,2,48.6388308,8.9427285
7.7,-0.64,-0.78,460.0,0.698,12.589,0.03,2,48.6388295,8.9427272
7.9,-0.72,-0.93,460.0,0.573,12.588,0.026,2,48.6388282,8.942726
8.0,-0.75,-1.02,460.0,0.684,12.588,0.025,2,48.6388273,8.9427257
8.2,-0.8,-1.15,460.0,0.539,12.588,0.026,2,48.6388262,8.942725
8.4,-0.84,-1.26,460.0,0.637,12.589,0.032,2,48.6388252,8.9427243
8.5,-0.88,-1.32,460.0,0.595,12.589,0.034,2,48.6388247,8.9427238
8.7,-0.96,-1.39,460.0,0.568,12.588,0.024,2,48.638824,8.9427228
8.9,-1.02,-1.45,460.0,0.534,12.588,0.025,2,48.6388235,8.942722
9.1,-1.05,-1.48,460.0,0.486,12.588,0.03,2,48.6388232,8.9427215
9.3,-1.08,-1.5,460.0,0.552,12.589,0.032,2,48.638823,8.9427212
9.4,-1.09,-1.5,460.0,0.526,12.589,0.031,2,48.638823,8.942721
9.5,-1.1,-1.5,460.0,0.383,12.588,0.026,2,48.638823,8.9427208
9.6,-1.1,-1.5,460.0,0.478,12.588,0.024,2,48.638823,8.9427208
9.8,-1.1,-1.48,460.0,0.573,12.588,0.029,2,48.6388232,8.9427208
9.9,-1.11,-1.46,460.0,0.555,12.588,0.027,2,48.6388233,8.9427207
10.1,-1.13,-1.45,460.0,0.584,12.589,0.023,2,48.6388235,8.9427205
10.3,-1.11,-1.43,460.0,0.523,12.588,0.02,2,48.6388237,8.9427207
10.5,-1.11,-1.41,460.0,0.568,12.588,0.027,2,48.6388238,8.9427207
10.6,-1.11,-1.41,460.0,0.534,12.588,0.029,2,48.6388238,8.9427207
10.7,-1.11,-1.41,460.1,0.476,12.588,0.029,2,48.6388238,8.9427207
10.8,-1.11,-1.41,460.0,0.42,12.588,0.027,2,48.6388238,8.9427207
10.9,-1.11,-1.43,460.0,0.481,12.588,0.027,2,48.6388237,8.9427207
11.0,-1.1,-1.43,460.0,0.576,12.588,0.025,2,48.6388237,8.9427208
11.1,-1.1,-1.43,460.0,0.555,12.588,0.027,2,48.6388237,8.9427208
11.3,-1.1,-1.43,460.0,0.489,12.588,0.027,2,48.6388237,8.9427208
11.4,-1.08,-1.43,460.0,0.457,12.589,0.03,2,48.6388237,8.9427212
