t,x,y,altGps,altBaro,voltage,current,sats,lat,lon
0.0,0.0,0.0,464.7,0.795,12.543,0.117,2,48.6388265,8.942732
0.1,0.0,0.0,464.7,-0.011,12.543,0.146,2,48.6388265,8.942732
0.3,-0.01,0.0,464.7,-0.021,12.543,0.116,2,48.6388265,8.9427318
0.4,-0.01,0.0,464.7,-0.016,12.544,0.149,2,48.6388265,8.9427318
0.5,-0.01,0.02,464.7,-0.053,12.544,0.156,2,48.6388267,8.9427318
0.6,-0.01,0.02,464.7,-0.032,12.544,0.137,2,48.6388267,8.9427318
0.7,-0.01,0.0,464.7,-0.026,12.544,0.124,2,48.6388265,8.9427318
0.8,-0.01,0.02,464.7,-0.053,12.545,0.035,2,48.6388267,8.9427318
0.9,-0.01,0.02,464.7,0.077,12.545,0.031,2,48.6388267,8.9427318
1.0,-0.01,0.02,464.7,-0.042,12.545,0.031,2,48.6388267,8.9427318
1.1,-0.01,0.02,464.7,-0.079,12.545,0.031,2,48.6388267,8.9427318
1.3,-0.01,0.04,464.7,-0.021,12.545,0.026,2,48.6388268,8.9427318
1.4,-0.01,0.02,464.7,-0.069,12.545,0.024,2,48.6388267,8.9427318
1.5,0.0,0.04,464.7,-0.042,12.545,0.024,2,48.6388268,8.942732
1.6,0.0,0.04,464.7,-0.095,12.546,0.022,2,48.6388268,8.942732
1.7,0.01,0.04,464.7,0.037,12.546,0.086,2,48.6388268,8.9427322
1.8,0.01,0.04,464.7,-0.048,12.545,0.164,2,48.6388268,8.9427322
1.9,0.02,0.06,464.7,-0.005,12.544,0.261,2,48.638827,8.9427323
2.0,0.04,0.06,464.7,-0.058,12.544,0.221,2,48.638827,8.9427325
2.1,0.04,0.06,464.7,-0.09,12.545,0.068,2,48.638827,8.9427325
2.3,0.04,0.06,464.7,0.114,12.545,0.035,2,48.638827,8.9427325
2.4,0.05,0.06,464.7,0.016,12.544,0.035,2,48.638827,8.9427327
2.5,0.05,0.06,464.7,-0.053,12.544,0.033,2,48.638827,8.9427327
2.6,0.06,0.06,464.7,-0.1,12.544,0.03,2,48.638827,8.9427328
2.7,0.07,0.07,464.7,-0.063,12.544,0.032,2,48.6388272,8.942733
2.8,0.09,0.07,464.7,0.05,12.545,0.032,2,48.6388272,8.9427332
2.9,0.1,0.07,464.7,0.011,12.545,0.034,2,48.6388272,8.9427333
3.0,0.1,0.09,464.7,-0.042,12.545,0.035,2,48.6388273,8.9427333
3.1,0.1,0.09,464.7,-0.053,12.545,0.035,2,48.6388273,8.9427333
3.3,0.11,0.09,464.7,-0.026,12.545,0.036,2,48.6388273,8.9427335
3.4,0.11,0.09,464.7,-0.011,12.545,0.039,2,48.6388273,8.9427335
3.5,0.11,0.09,464.7,0.034,12.545,0.031,2,48.6388273,8.9427335
3.6,0.11,0.11,464.7,0.082,12.546,0.026,2,48.6388275,8.9427335
3.7,0.11,0.11,464.7,0.005,12.546,0.026,2,48.6388275,8.9427335
3.8,0.11,0.11,464.7,0.071,12.545,0.025,2,48.6388275,8.9427335
3.9,0.12,0.11,464.7,0.082,12.545,0.026,2,48.6388275,8.9427337
4.0,0.12,0.11,464.7,0.095,12.545,0.024,2,48.6388275,8.9427337
4.1,0.12,0.11,464.7,0.026,12.545,0.029,2,48.6388275,8.9427337
4.3,0.12,0.11,464.7,0.029,12.544,0.029,2,48.6388275,8.9427337
4.4,0.12,0.11,464.7,-0.021,12.543,0.032,2,48.6388275,8.9427337
4.5,0.13,0.13,464.7,0.04,12.544,0.034,2,48.6388277,8.9427338
4.6,0.13,0.13,464.7,0.05,12.544,0.029,2,48.6388277,8.9427338
4.7,0.13,0.13,464.7,0.045,12.545,0.03,2,48.6388277,8.9427338
4.8,0.13,0.15,464.7,0.053,12.545,0.034,2,48.6388278,8.9427338
4.9,0.15,0.15,464.7,0.114,12.546,0.039,2,48.6388278,8.942734
5.0,0.15,0.15,464.6,0.026,12.545,0.042,2,48.6388278,8.942734
5.1,0.15,0.15,464.6,0.018,12.544,0.038,2,48.6388278,8.942734
5.3,0.15,0.17,464.6,-0.011,12.544,0.035,2,48.638828,8.942734
5.4,0.15,0.17,464.6,0.087,12.544,0.03,2,48.638828,8.942734
5.5,0.16,0.17,464.6,0.106,12.544,0.034,2,48.638828,8.9427342
5.6,0.16,0.17,464.6,0.048,12.544,0.029,2,48.638828,8.9427342
5.7,0.16,0.19,464.6,0.055,12.545,0.027,2,48.6388282,8.9427342
5.8,0.17,0.19,464.6,0.0,12.544,0.023,2,48.6388282,8.9427343
5.9,0.17,0.19,464.6,0.082,12.544,0.027,2,48.6388282,8.9427343
6.0,0.17,0.2,464.6,0.071,12.544,0.033,2,48.6388283,8.9427343
