t,x,y,altGps,altBaro,voltage,current,sats,lat,lon
0.0,0.0,0.0,457.4,-0.946,12.538,0.037,2,48.6388187,8.9427522
0.1,-0.01,0.0,457.4,-0.983,12.538,0.036,2,48.6388187,8.942752
0.3,0.0,0.02,457.4,0.188,12.54,0.034,2,48.6388188,8.9427522
0.4,-0.01,0.02,457.4,0.09,12.542,0.031,2,48.6388188,8.942752
0.5,-0.01,0.0,457.4,0.074,12.539,0.028,2,48.6388187,8.942752
0.7,-0.01,0.0,457.4,0.116,12.538,0.027,2,48.6388187,8.942752
0.9,-0.02,0.0,457.4,0.071,12.539,0.033,2,48.6388187,8.9427518
1.1,-0.02,0.02,457.4,0.254,12.539,0.03,2,48.6388188,8.9427518
1.2,-0.02,0.02,457.4,0.037,12.54,0.028,2,48.6388188,8.9427518
1.4,-0.02,0.02,457.4,0.1,12.54,0.024,2,48.6388188,8.9427518
1.5,-0.02,0.02,457.4,0.095,12.539,0.027,2,48.6388188,8.9427518
1.6,-0.04,0.04,457.3,0.119,12.537,0.024,2,48.638819,8.9427517
1.8,-0.04,0.04,457.3,0.169,12.539,0.029,2,48.638819,8.9427517
2.0,-0.04,0.06,457.3,0.254,12.539,0.043,2,48.6388192,8.9427517
2.2,-0.04,0.06,457.3,0.132,12.537,0.032,2,48.6388192,8.9427517
2.3,-0.04,0.06,457.3,0.137,12.539,0.021,2,48.6388192,8.9427517
2.5,-0.04,0.06,457.3,0.061,12.539,0.02,2,48.6388192,8.9427517
2.7,-0.05,0.07,457.3,0.082,12.539,0.032,2,48.6388193,8.9427515
2.9,-0.05,0.09,457.3,0.114,12.538,0.032,2,48.6388195,8.9427515
3.0,-0.06,0.11,457.3,0.135,12.538,0.023,2,48.6388197,8.9427513
3.2,-0.06,0.11,457.3,0.148,12.538,0.023,2,48.6388197,8.9427513
3.3,-0.07,0.11,457.3,-0.048,12.539,0.025,2,48.6388197,8.9427512
3.5,-0.07,0.11,457.3,-0.021,12.539,0.031,2,48.6388197,8.9427512
3.6,-0.09,0.11,457.2,0.092,12.539,0.031,2,48.6388197,8.942751
3.8,-0.09,0.11,457.2,0.003,12.541,0.03,2,48.6388197,8.942751
4.0,-0.1,0.11,457.2,0.124,12.54,0.031,2,48.6388197,8.9427508
4.1,-0.11,0.11,457.2,0.106,12.539,0.026,2,48.6388197,8.9427507
4.2,-0.12,0.13,457.2,0.09,12.539,0.023,2,48.6388198,8.9427505
4.3,-0.12,0.13,457.2,0.156,12.541,0.021,2,48.6388198,8.9427505
4.5,-0.12,0.15,457.2,0.092,12.539,0.027,2,48.63882,8.9427505
4.6,-0.12,0.15,457.2,0.198,12.539,0.033,2,48.63882,8.9427505
4.8,-0.13,0.17,457.2,0.164,12.54,0.025,2,48.6388202,8.9427503
5.0,-0.15,0.17,457.2,0.0,12.54,0.026,2,48.6388202,8.9427502
5.1,-0.16,0.19,457.2,0.092,12.541,0.022,2,48.6388203,8.94275
5.2,-0.17,0.19,457.1,0.108,12.54,0.026,2,48.6388203,8.9427498
5.4,-0.18,0.2,457.1,0.129,12.539,0.023,2,48.6388205,8.9427497
5.5,-0.2,0.2,457.1,0.048,12.539,0.024,2,48.6388205,8.9427495
5.6,-0.2,0.2,457.1,0.137,12.539,0.027,2,48.6388205,8.9427495
5.8,-0.21,0.2,457.1,0.233,12.539,0.025,2,48.6388205,8.9427493
6.0,-0.22,0.19,457.1,0.103,12.539,0.027,2,48.6388203,8.9427492
6.1,-0.23,0.19,457.1,0.159,12.539,0.026,2,48.6388203,8.942749
6.2,-0.23,0.19,457.0,0.04,12.539,0.025,2,48.6388203,8.942749
6.3,-0.24,0.19,457.0,0.143,12.541,0.018,2,48.6388203,8.9427488
6.4,-0.24,0.2,457.0,0.137,12.542,0.021,2,48.6388205,8.9427488
6.5,-0.26,0.2,457.0,0.148,12.541,0.019,2,48.6388205,8.9427487
6.6,-0.26,0.2,457.0,0.034,12.539,0.024,2,48.6388205,8.9427487
6.8,-0.27,0.22,457.0,0.048,12.538,0.034,2,48.6388207,8.9427485
6.9,-0.27,0.22,457.0,0.034,12.541,0.037,2,48.6388207,8.9427485
7.0,-0.28,0.22,457.0,0.021,12.541,0.034,2,48.6388207,8.9427483
7.1,-0.29,0.24,457.0,0.103,12.542,0.03,2,48.6388208,8.9427482
7.2,-0.29,0.26,457.0,0.024,12.541,0.028,2,48.638821,8.9427482
7.4,-0.28,0.26,457.0,0.055,12.541,0.023,2,48.638821,8.9427483
7.6,-0.29,0.26,457.0,0.053,12.538,0.032,2,48.638821,8.9427482
7.8,-0.29,0.26,457.0,0.037,12.539,0.04,2,48.638821,8.9427482
8.0,-0.31,0.26,457.0,0.069,12.54,0.03,2,48.638821,8.942748
8.1,-0.31,0.28,457.0,0.092,12.539,0.026,2,48.6388212,8.942748
8.3,-0.32,0.3,457.0,0.055,12.539,0.031,2,48.6388213,8.9427478
8.4,-0.32,0.3,457.0,0.122,12.54,0.032,2,48.6388213,8.9427478
8.5,-0.33,0.32,457.0,0.092,12.539,0.035,2,48.6388215,8.9427477
8.6,-0.34,0.33,457.0,0.079,12.539,0.036,2,48.6388217,8.9427475
8.8,-0.34,0.32,457.0,0.085,12.539,0.03,2,48.6388215,8.9427475
8.9,-0.34,0.3,457.0,0.116,12.54,0.028,2,48.6388213,8.9427475
9.1,-0.34,0.28,457.0,0.05,12.538,0.03,2,48.6388212,8.9427475
9.3,-0.36,0.28,457.0,0.029,12.539,0.037,2,48.6388212,8.9427473
9.5,-0.36,0.28,457.0,0.124,12.539,0.037,2,48.6388212,8.9427473
9.6,-0.37,0.26,457.0,0.203,12.538,0.027,2,48.638821,8.9427472
9.8,-0.37,0.24,457.0,0.026,12.539,0.03,2,48.6388208,8.9427472
9.9,-0.37,0.22,457.0,0.119,12.541,0.029,2,48.6388207,8.9427472
10.0,-0.37,0.22,457.0,0.029,12.541,0.028,2,48.6388207,8.9427472
10.1,-0.38,0.2,457.0,0.061,12.54,0.025,2,48.6388205,8.942747
10.2,-0.38,0.2,457.0,0.085,12.541,0.024,2,48.6388205,8.942747
10.3,-0.38,0.19,457.0,0.1,12.541,0.022,2,48.6388203,8.942747
10.4,-0.38,0.19,457.0,0.193,12.542,0.022,2,48.6388203,8.942747
10.5,-0.38,0.19,457.0,0.211,12.541,0.024,2,48.6388203,8.942747
10.6,-0.38,0.17,457.0,0.071,12.54,0.027,2,48.6388202,8.942747
10.8,-0.38,0.17,457.0,0.161,12.54,0.028,2,48.6388202,8.942747
11.0,-0.38,0.15,457.0,-0.011,12.539,0.031,2,48.63882,8.942747
11.1,-0.38,0.15,457.0,0.114,12.54,0.033,2,48.63882,8.942747
11.3,-0.38,0.15,457.0,0.048,12.54,0.032,2,48.63882,8.942747
11.5,-0.37,0.13,457.0,0.153,12.539,0.034,2,48.6388198,8.9427472
11.6,-0.37,0.13,457.0,0.127,12.538,0.024,2,48.6388198,8.9427472
11.8,-0.37,0.13,457.0,0.077,12.54,0.019,2,48.6388198,8.9427472
12.0,-0.37,0.13,457.0,0.145,12.54,0.023,2,48.6388198,8.9427472
12.1,-0.37,0.11,457.0,0.071,12.539,0.03,2,48.6388197,8.9427472
12.3,-0.37,0.11,457.0,0.045,12.54,0.034,2,48.6388197,8.9427472
12.5,-0.37,0.11,457.1,0.077,12.538,0.024,2,48.6388197,8.9427472
12.7,-0.36,0.11,457.1,0.174,12.538,0.035,2,48.6388197,8.9427473
13.0,-0.36,0.11,457.1,0.182,12.539,0.033,2,48.6388197,8.9427473
13.2,-0.36,0.11,457.1,0.04,12.538,0.027,2,48.6388197,8.9427473
13.4,-0.36,0.11,457.1,0.151,12.54,0.027,2,48.6388197,8.9427473
13.5,-0.36,0.13,457.1,0.058,12.541,0.032,2,48.6388198,8.9427473
13.7,-0.36,0.13,457.1,0.103,12.539,0.034,2,48.6388198,8.9427473
13.9,-0.36,0.13,457.1,0.106,12.539,0.034,2,48.6388198,8.9427473
14.1,-0.36,0.15,457.1,0.137,12.538,0.034,2,48.63882,8.9427473
14.2,-0.36,0.15,457.1,0.14,12.539,0.028,2,48.63882,8.9427473
14.3,-0.36,0.15,457.1,0.116,12.54,0.028,2,48.63882,8.9427473
