t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,460.7,1.025,12.574,0.02,0.66,2,48.6388408,8.9427403
0.1,0.0,-0.02,460.6,-0.048,12.573,0.021,0.8,2,48.6388407,8.9427403
0.2,0.01,0.0,460.6,-0.032,12.574,0.017,0.0,2,48.6388408,8.9427405
0.3,0.01,0.0,460.6,-0.127,12.576,0.006,0.0,2,48.6388408,8.9427405
0.4,0.01,0.0,460.7,-0.069,12.577,0.008,0.8,2,48.6388408,8.9427405
0.5,0.02,0.02,460.7,0.04,12.577,0.007,1.4,2,48.638841,8.9427407
0.6,0.04,0.06,460.6,0.026,12.576,0.016,3.45,2,48.6388413,8.9427408
0.7,0.06,0.15,460.7,0.011,12.575,0.013,0.0,2,48.6388422,8.9427412
0.8,0.06,0.15,460.7,-0.021,12.574,0.011,2.98,2,48.6388422,8.9427412
0.9,0.02,0.22,460.6,0.1,12.575,0.012,5.62,2,48.6388428,8.9427407
1.0,0.07,0.37,460.6,-0.037,12.576,0.018,1.4,2,48.6388442,8.9427413
1.1,0.09,0.41,460.6,0.098,12.577,0.019,1.11,2,48.6388445,8.9427415
1.2,0.11,0.43,460.6,-0.021,12.578,0.022,0.67,2,48.6388447,8.9427418
1.3,0.11,0.41,460.6,-0.079,12.577,0.018,0.88,2,48.6388445,8.9427418
1.4,0.13,0.41,460.5,-0.095,12.577,0.015,0.67,2,48.6388445,8.9427422
1.5,0.13,0.43,460.5,-0.058,12.577,0.014,0.88,2,48.6388447,8.9427422
1.6,0.11,0.43,460.6,-0.042,12.576,0.013,0.88,2,48.6388447,8.9427418
1.7,0.13,0.43,460.5,-0.063,12.576,0.013,0.0,2,48.6388447,8.9427422
1.8,0.13,0.43,460.5,0.037,12.576,0.018,0.4,2,48.6388447,8.9427422
2.0,0.15,0.41,460.5,-0.048,12.576,0.018,1.11,2,48.6388445,8.9427423
2.1,0.17,0.43,460.5,-0.095,12.576,0.016,2.19,2,48.6388447,8.9427427
2.2,0.15,0.37,460.5,-0.053,12.576,0.014,1.6,2,48.6388442,8.9427423
2.3,0.17,0.41,460.5,0.026,12.576,0.005,0.67,2,48.6388445,8.9427427
2.4,0.17,0.43,460.5,0.114,12.576,0.005,1.11,2,48.6388447,8.9427427
