t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,460.5,2.153,12.554,0.404,0.4,2,48.6388397,8.942754
0.2,-0.01,-0.02,460.5,0.048,12.559,0.127,0.67,2,48.6388395,8.9427538
0.3,-0.01,0.0,460.5,-0.058,12.561,0.054,0.66,2,48.6388397,8.9427538
0.4,-0.01,0.02,460.5,0.021,12.561,0.045,0.0,2,48.6388398,8.9427538
0.5,-0.01,0.02,460.5,-0.005,12.561,0.053,0.67,2,48.6388398,8.9427538
0.6,-0.01,0.04,460.5,0.016,12.561,0.058,0.44,2,48.63884,8.9427538
0.7,-0.02,0.04,460.5,-0.042,12.561,0.062,0.67,2,48.63884,8.9427537
0.8,-0.02,0.06,460.5,-0.074,12.561,0.059,0.0,2,48.6388402,8.9427537
0.9,-0.02,0.06,460.5,0.048,12.562,0.05,0.66,2,48.6388402,8.9427537
1.0,-0.02,0.07,460.5,0.026,12.562,0.05,0.0,2,48.6388403,8.9427537
1.2,-0.02,0.07,460.5,-0.021,12.562,0.058,0.67,2,48.6388403,8.9427537
1.3,-0.02,0.09,460.5,-0.122,12.562,0.06,0.0,2,48.6388405,8.9427537
1.4,-0.02,0.09,460.5,-0.048,12.562,0.058,0.0,2,48.6388405,8.9427537
1.5,-0.02,0.09,460.5,0.016,12.561,0.061,0.0,2,48.6388405,8.9427537
1.6,-0.02,0.09,460.5,0.05,12.562,0.062,0.44,2,48.6388405,8.9427537
1.7,-0.04,0.09,460.5,0.005,12.562,0.061,0.0,2,48.6388405,8.9427535
1.8,-0.04,0.09,460.5,-0.037,12.562,0.06,0.0,2,48.6388405,8.9427535
1.9,-0.04,0.09,460.5,-0.005,12.562,0.062,0.0,2,48.6388405,8.9427535
2.0,-0.04,0.09,460.5,-0.095,12.561,0.064,0.0,2,48.6388405,8.9427535
2.1,-0.04,0.09,460.5,0.04,12.562,0.067,0.0,2,48.6388405,8.9427535
2.2,-0.04,0.09,460.5,-0.074,12.562,0.062,0.8,2,48.6388405,8.9427535
2.3,-0.05,0.11,460.5,0.114,12.562,0.058,0.8,2,48.6388407,8.9427533
2.4,-0.04,0.09,460.5,0.129,12.562,0.055,0.0,2,48.6388405,8.9427535
2.5,-0.04,0.09,460.5,-0.026,12.562,0.064,0.67,2,48.6388405,8.9427535
2.6,-0.04,0.11,460.5,0.196,12.563,0.062,0.8,2,48.6388407,8.9427535
2.7,-0.05,0.09,460.5,0.172,12.563,0.061,0.67,2,48.6388405,8.9427533
2.8,-0.05,0.11,460.5,0.159,12.563,0.063,0.0,2,48.6388407,8.9427533
2.9,-0.05,0.11,460.5,0.071,12.562,0.07,0.0,2,48.6388407,8.9427533
3.0,-0.05,0.11,460.5,0.026,12.563,0.068,0.33,2,48.6388407,8.9427533
3.2,-0.05,0.13,460.5,0.066,12.561,0.06,0.66,2,48.6388408,8.9427533
3.3,-0.05,0.11,460.5,0.233,12.561,0.06,0.0,2,48.6388407,8.9427533
3.4,-0.05,0.11,460.5,0.222,12.561,0.059,0.44,2,48.6388407,8.9427533
3.5,-0.06,0.11,460.5,0.087,12.561,0.052,0.44,2,48.6388407,8.9427532
3.6,-0.05,0.11,460.5,0.048,12.562,0.054,0.66,2,48.6388407,8.9427533
3.7,-0.05,0.13,460.5,0.137,12.561,0.055,0.44,2,48.6388408,8.9427533
3.8,-0.06,0.13,460.5,0.122,12.561,0.052,0.44,2,48.6388408,8.9427532
3.9,-0.05,0.13,460.5,0.045,12.561,0.051,0.44,2,48.6388408,8.9427533
4.0,-0.06,0.13,460.5,0.005,12.562,0.056,0.4,2,48.6388408,8.9427532
4.2,-0.05,0.11,460.5,0.021,12.562,0.066,0.8,2,48.6388407,8.9427533
4.3,-0.06,0.13,460.5,-0.106,12.562,0.056,0.8,2,48.6388408,8.9427532
4.4,-0.07,0.11,460.6,-0.048,12.562,0.058,1.6,2,48.6388407,8.942753
4.5,-0.1,0.15,460.5,-0.058,12.562,0.054,0.67,2,48.638841,8.9427527
4.6,-0.1,0.17,460.5,0.042,12.562,0.063,0.0,2,48.6388412,8.9427527
4.7,-0.1,0.17,460.5,0.024,12.562,0.058,0.88,2,48.6388412,8.9427527
4.8,-0.12,0.17,460.6,0.135,12.562,0.059,0.44,2,48.6388412,8.9427523
4.9,-0.11,0.17,460.6,0.087,12.562,0.052,0.0,2,48.6388412,8.9427525
5.0,-0.11,0.17,460.5,0.116,12.562,0.054,0.22,2,48.6388412,8.9427525
5.2,-0.12,0.17,460.5,0.095,12.562,0.065,0.8,2,48.6388412,8.9427523
5.3,-0.13,0.19,460.5,0.135,12.562,0.065,0.0,2,48.6388413,8.9427522
5.4,-0.13,0.19,460.5,0.111,12.562,0.065,0.8,2,48.6388413,8.9427522
5.5,-0.15,0.2,460.5,0.032,12.562,0.061,0.8,2,48.6388415,8.942752
5.6,-0.13,0.22,460.5,-0.016,12.562,0.057,0.0,2,48.6388417,8.9427522
5.7,-0.13,0.22,460.4,0.148,12.562,0.059,0.0,2,48.6388417,8.9427522
5.8,-0.13,0.22,460.4,0.095,12.562,0.058,0.8,2,48.6388417,8.9427522
5.9,-0.15,0.24,460.4,0.092,12.562,0.065,0.8,2,48.6388418,8.942752
6.0,-0.16,0.22,460.4,0.166,12.562,0.061,0.8,2,48.6388417,8.9427518
6.2,-0.18,0.26,460.4,0.09,12.563,0.06,0.8,2,48.638842,8.9427515
6.3,-0.2,0.28,460.5,0.029,12.562,0.057,0.0,2,48.6388422,8.9427513
6.4,-0.2,0.28,460.4,0.018,12.562,0.062,0.0,2,48.6388422,8.9427513
6.5,-0.2,0.28,460.4,0.055,12.561,0.063,0.0,2,48.6388422,8.9427513
6.6,-0.2,0.28,460.4,0.095,12.562,0.067,0.66,2,48.6388422,8.9427513
6.7,-0.2,0.3,460.4,0.045,12.561,0.067,0.0,2,48.6388423,8.9427513
6.8,-0.2,0.3,460.4,0.103,12.561,0.07,0.0,2,48.6388423,8.9427513
6.9,-0.2,0.3,460.4,0.095,12.561,0.067,0.0,2,48.6388423,8.9427513
7.0,-0.2,0.3,460.4,0.082,12.561,0.064,0.0,2,48.6388423,8.9427513
7.2,-0.2,0.3,460.4,0.082,12.561,0.058,0.0,2,48.6388423,8.9427513
7.3,-0.2,0.3,460.4,0.063,12.561,0.057,0.44,2,48.6388423,8.9427513
7.4,-0.21,0.3,460.3,-0.011,12.562,0.05,0.44,2,48.6388423,8.9427512
7.5,-0.2,0.3,460.3,0.206,12.562,0.053,0.44,2,48.6388423,8.9427513
7.6,-0.21,0.3,460.3,0.137,12.562,0.053,0.67,2,48.6388423,8.9427512
7.7,-0.21,0.32,460.3,0.201,12.563,0.058,0.0,2,48.6388425,8.9427512
7.7,-0.21,0.32,460.3,0.116,12.562,0.059,0.44,2,48.6388425,8.9427512
7.8,-0.22,0.32,460.3,0.048,12.562,0.06,0.44,2,48.6388425,8.942751
7.9,-0.23,0.32,460.3,0.005,12.562,0.066,0.67,2,48.6388425,8.9427508
8.0,-0.23,0.33,460.3,-0.005,12.561,0.065,0.0,2,48.6388427,8.9427508
8.2,-0.23,0.33,460.3,0.0,12.562,0.065,0.0,2,48.6388427,8.9427508
8.3,-0.23,0.33,460.3,0.008,12.562,0.067,0.66,2,48.6388427,8.9427508
8.4,-0.23,0.35,460.3,-0.116,12.563,0.068,0.67,2,48.6388428,8.9427508
8.5,-0.23,0.37,460.3,0.053,12.563,0.065,0.44,2,48.638843,8.9427508
8.6,-0.24,0.37,460.3,0.066,12.562,0.061,0.67,2,48.638843,8.9427507
8.7,-0.24,0.35,460.3,-0.011,12.561,0.058,0.67,2,48.6388428,8.9427507
8.8,-0.24,0.37,460.3,0.143,12.562,0.063,0.0,2,48.638843,8.9427507
8.9,-0.24,0.37,460.3,0.04,12.562,0.059,0.67,2,48.638843,8.9427507
9.0,-0.24,0.39,460.3,0.013,12.562,0.057,0.0,2,48.6388432,8.9427507
9.1,-0.24,0.39,460.3,0.087,12.562,0.053,0.67,2,48.6388432,8.9427507
9.2,-0.24,0.37,460.2,0.166,12.562,0.052,0.8,2,48.638843,8.9427507
9.3,-0.26,0.39,460.2,0.129,12.562,0.055,0.66,2,48.6388432,8.9427505
9.4,-0.26,0.41,460.2,0.106,12.562,0.057,0.0,2,48.6388433,8.9427505
9.5,-0.26,0.41,460.2,0.14,12.562,0.051,0.8,2,48.6388433,8.9427505
9.6,-0.27,0.39,460.2,0.127,12.562,0.049,1.48,2,48.6388432,8.9427503
9.7,-0.31,0.41,460.2,0.114,12.562,0.051,0.88,2,48.6388433,8.9427498
9.8,-0.33,0.41,460.2,0.071,12.561,0.06,1.32,2,48.6388433,8.9427495
9.9,-0.37,0.41,460.2,0.182,12.561,0.059,0.0,2,48.6388433,8.942749
10.0,-0.37,0.41,460.2,0.082,12.561,0.058,0.55,2,48.6388433,8.942749
10.2,-0.34,0.39,460.1,0.071,12.561,0.058,0.44,2,48.6388432,8.9427493
10.3,-0.36,0.39,460.1,0.14,12.562,0.065,0.44,2,48.6388432,8.9427492
10.4,-0.37,0.39,460.0,0.095,12.561,0.066,0.67,2,48.6388432,8.942749
