t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,459.2,0.811,12.547,0.004,0.0,2,48.6388363,8.9427348
0.1,0.0,0.0,459.3,0.082,12.502,0.01,0.88,2,48.6388363,8.9427348
0.2,-0.02,0.0,459.3,0.034,12.489,0.007,0.66,2,48.6388363,8.9427345
0.3,-0.02,-0.02,459.3,-0.074,12.485,0.004,0.44,2,48.6388362,8.9427345
0.4,-0.01,-0.02,459.3,0.016,12.514,0.009,0.44,2,48.6388362,8.9427347
0.5,0.0,-0.02,459.2,0.082,12.528,0.017,0.67,2,48.6388362,8.9427348
0.6,0.0,-0.04,459.3,-0.1,12.562,0.024,0.4,2,48.638836,8.9427348
0.8,0.01,-0.06,459.3,-0.021,12.572,0.02,0.44,2,48.6388358,8.942735
0.9,0.0,-0.06,459.3,-0.032,12.572,0.017,0.67,2,48.6388358,8.9427348
1.0,0.0,-0.04,459.3,-0.011,12.591,0.012,0.67,2,48.638836,8.9427348
1.1,0.0,-0.06,459.3,0.005,12.602,0.011,0.67,2,48.6388358,8.9427348
1.2,0.0,-0.04,459.3,0.026,12.617,0.004,0.0,2,48.638836,8.9427348
1.3,0.0,-0.04,459.3,-0.011,12.595,0.007,0.44,2,48.638836,8.9427348
1.4,-0.01,-0.04,459.3,0.108,12.59,-0.001,0.44,2,48.638836,8.9427347
1.5,0.0,-0.04,459.3,-0.074,12.58,0.005,0.0,2,48.638836,8.9427348
1.6,0.0,-0.04,459.3,-0.011,12.56,0.007,0.33,2,48.638836,8.9427348
1.8,0.0,-0.02,459.3,-0.011,12.555,0.006,0.0,2,48.6388362,8.9427348
1.9,0.0,-0.02,459.3,-0.09,12.551,0.008,0.0,2,48.6388362,8.9427348
2.0,0.0,-0.02,459.4,-0.074,12.547,0.005,0.0,2,48.6388362,8.9427348
2.2,0.0,-0.02,459.4,-0.1,12.546,0.007,0.0,2,48.6388362,8.9427348
2.3,0.0,-0.02,459.4,-0.016,12.546,0.01,0.44,2,48.6388362,8.9427348
2.4,-0.01,-0.02,459.4,-0.021,12.545,0.007,0.0,2,48.6388362,8.9427347
2.5,-0.01,-0.02,459.4,0.005,12.545,0.004,0.33,2,48.6388362,8.9427347
2.7,-0.01,-0.04,459.4,0.013,12.543,0.014,0.22,2,48.638836,8.9427347
2.9,0.0,-0.04,459.4,0.005,12.541,0.013,0.0,2,48.638836,8.9427348
3.1,0.0,-0.04,459.4,-0.09,12.542,0.01,0.55,2,48.638836,8.9427348
3.3,-0.02,-0.06,459.3,-0.021,12.528,0.003,1.11,2,48.6388358,8.9427345
3.4,0.0,-0.04,459.4,-0.069,12.528,0.007,0.44,2,48.638836,8.9427348
3.5,-0.01,-0.04,459.4,-0.042,12.543,0.01,0.44,2,48.638836,8.9427347
3.6,0.0,-0.04,459.4,-0.111,12.542,0.022,0.4,2,48.638836,8.9427348
3.8,0.01,-0.06,459.4,-0.053,12.543,0.022,0.44,2,48.6388358,8.942735
3.9,0.02,-0.06,459.4,-0.058,12.5,0.012,0.0,2,48.6388358,8.9427352
4.0,0.02,-0.06,459.4,-0.021,12.455,0.01,0.67,2,48.6388358,8.9427352
4.1,0.02,-0.04,459.4,0.04,12.471,0.005,0.44,2,48.638836,8.9427352
4.2,0.04,-0.04,459.5,-0.063,12.482,0.005,0.8,2,48.638836,8.9427353
4.3,0.05,-0.06,459.4,-0.095,12.498,0.002,0.44,2,48.6388358,8.9427355
4.4,0.04,-0.06,459.4,-0.037,12.499,0.007,0.4,2,48.6388358,8.9427353
4.6,0.02,-0.07,459.4,0.018,12.486,0.01,0.0,2,48.6388357,8.9427352
4.8,0.02,-0.07,459.5,0.153,12.495,0.009,0.4,2,48.6388357,8.9427352
5.0,0.01,-0.06,459.5,0.082,12.566,0.014,1.11,2,48.6388358,8.942735
5.1,0.04,-0.04,459.6,0.219,12.567,0.01,0.0,2,48.638836,8.9427353
5.2,0.04,-0.04,459.6,0.055,12.557,0.003,0.8,2,48.638836,8.9427353
5.3,0.05,-0.06,459.6,0.209,12.546,0.004,0.67,2,48.6388358,8.9427355
5.4,0.05,-0.04,459.7,0.151,12.536,0.007,0.0,2,48.638836,8.9427355
5.5,0.05,-0.04,459.7,0.119,12.583,0.007,0.8,2,48.638836,8.9427355
5.6,0.06,-0.06,459.7,0.053,12.589,0.007,0.0,2,48.6388358,8.9427357
5.8,0.06,-0.06,459.8,0.177,12.599,0.009,0.22,2,48.6388358,8.9427357
6.0,0.05,-0.06,459.8,0.193,12.584,0.002,0.0,2,48.6388358,8.9427355
6.2,0.05,-0.06,459.8,0.243,12.552,0.008,0.44,2,48.6388358,8.9427355
6.3,0.06,-0.06,459.8,0.098,12.54,0.01,0.22,2,48.6388358,8.9427357
6.5,0.07,-0.06,459.8,0.169,12.549,0.005,0.0,2,48.6388358,8.9427358
6.7,0.07,-0.06,459.8,0.256,12.547,0.007,0.0,2,48.6388358,8.9427358
6.9,0.07,-0.06,459.9,0.246,12.549,0.008,0.0,2,48.6388358,8.9427358
7.0,0.07,-0.06,459.9,0.211,12.557,0.003,0.44,2,48.6388358,8.9427358
7.1,0.09,-0.06,459.9,0.301,12.554,0.005,0.8,2,48.6388358,8.942736
7.2,0.1,-0.04,459.9,0.166,12.551,0.002,0.67,2,48.638836,8.9427362
7.3,0.1,-0.02,460.0,0.211,12.53,0.001,0.44,2,48.6388362,8.9427362
7.4,0.11,-0.02,460.0,0.211,12.533,0.005,0.0,2,48.6388362,8.9427363
7.5,0.11,-0.02,460.1,0.132,12.535,0.008,0.0,2,48.6388362,8.9427363
7.6,0.11,-0.02,460.1,0.135,12.531,0.011,0.22,2,48.6388362,8.9427363
7.8,0.12,-0.02,460.1,0.272,12.527,0.004,0.8,2,48.6388362,8.9427365
7.9,0.13,-0.04,460.1,0.116,12.521,0.003,1.11,2,48.638836,8.9427367
8.0,0.11,-0.02,460.1,0.129,12.497,0.005,1.48,2,48.6388362,8.9427363
8.1,0.07,0.0,460.1,0.087,12.485,0.0,1.1,2,48.6388363,8.9427358
8.2,0.05,-0.02,460.1,0.116,12.498,-0.002,0.88,2,48.6388362,8.9427355
8.3,0.02,-0.02,460.1,0.04,12.515,-0.002,0.94,2,48.6388362,8.9427352
8.5,-0.01,0.02,460.1,0.124,12.521,0.001,0.44,2,48.6388365,8.9427347
8.7,-0.04,0.02,460.1,0.082,12.547,-0.002,0.55,2,48.6388365,8.9427343
8.9,-0.06,0.0,460.1,0.111,12.548,0.006,0.4,2,48.6388363,8.942734
9.1,-0.07,-0.02,460.1,0.172,12.567,0.012,0.22,2,48.6388362,8.9427338
9.3,-0.09,-0.02,460.1,0.23,12.58,0.009,0.4,2,48.6388362,8.9427337
9.5,-0.1,-0.04,460.1,0.219,12.555,0.0,0.44,2,48.638836,8.9427335
9.7,-0.12,-0.04,460.1,0.235,12.547,0.008,0.7,2,48.638836,8.9427332
9.9,-0.13,-0.07,460.1,0.233,12.548,0.007,0.4,2,48.6388357,8.942733
10.1,-0.15,-0.09,460.1,0.198,12.551,0.007,0.8,2,48.6388355,8.9427328
10.2,-0.16,-0.11,460.0,0.174,12.548,0.007,0.4,2,48.6388353,8.9427327
10.4,-0.17,-0.13,460.0,0.193,12.547,0.008,1.34,2,48.6388352,8.9427325
10.5,-0.17,-0.17,460.0,0.27,12.546,0.005,1.32,2,48.6388348,8.9427325
10.6,-0.21,-0.17,460.0,0.19,12.544,0.008,0.4,2,48.6388348,8.942732
10.8,-0.22,-0.19,460.0,0.069,12.544,0.014,0.0,2,48.6388347,8.9427318
10.9,-0.22,-0.19,460.0,0.092,12.544,0.018,0.44,2,48.6388347,8.9427318
11.0,-0.23,-0.19,460.0,0.148,12.544,0.016,0.8,2,48.6388347,8.9427317
11.1,-0.24,-0.2,460.0,0.045,12.542,0.015,0.0,2,48.6388345,8.9427315
11.2,-0.24,-0.2,460.0,0.111,12.543,0.011,0.44,2,48.6388345,8.9427315
11.3,-0.26,-0.2,460.0,0.05,12.543,0.007,0.0,2,48.6388345,8.9427313
11.4,-0.26,-0.2,460.0,0.137,12.535,0.004,0.44,2,48.6388345,8.9427313
11.5,-0.27,-0.2,460.0,0.1,12.535,0.006,0.0,2,48.6388345,8.9427312
11.6,-0.27,-0.2,460.1,0.193,12.534,0.01,0.0,2,48.6388345,8.9427312
11.8,-0.27,-0.2,460.1,0.235,12.542,0.009,0.67,2,48.6388345,8.9427312
11.9,-0.27,-0.22,460.1,0.296,12.536,0.01,0.44,2,48.6388343,8.9427312
12.0,-0.28,-0.22,460.1,0.272,12.491,0.008,0.4,2,48.6388343,8.942731
12.2,-0.29,-0.2,460.1,0.114,12.422,0.007,0.0,2,48.6388345,8.9427308
12.4,-0.29,-0.2,460.1,0.135,12.391,0.012,0.4,2,48.6388345,8.9427308
12.6,-0.31,-0.19,460.1,0.124,12.426,0.002,0.22,2,48.6388347,8.9427307
12.8,-0.32,-0.19,460.1,0.182,12.459,-0.001,0.0,2,48.6388347,8.9427305
13.0,-0.32,-0.19,460.1,0.227,12.521,0.007,0.22,2,48.6388347,8.9427305
13.2,-0.33,-0.19,460.1,0.259,12.589,0.012,0.22,2,48.6388347,8.9427303
13.4,-0.34,-0.19,460.2,0.19,12.674,0.008,0.55,2,48.6388347,8.9427302
13.6,-0.37,-0.17,460.2,0.018,12.656,0.015,0.44,2,48.6388348,8.9427298
13.8,-0.39,-0.17,460.2,0.161,12.625,0.011,0.0,2,48.6388348,8.9427295
14.0,-0.39,-0.17,460.2,0.174,12.575,0.011,0.44,2,48.6388348,8.9427295
14.2,-0.42,-0.17,460.2,0.071,12.549,0.005,0.0,2,48.6388348,8.9427292
14.4,-0.42,-0.17,460.2,0.0,12.57,0.011,0.55,2,48.6388348,8.9427292
14.6,-0.44,-0.19,460.2,-0.037,12.547,0.01,0.4,2,48.6388347,8.9427288
14.8,-0.45,-0.17,460.3,-0.074,12.564,0.004,0.4,2,48.6388348,8.9427287
15.0,-0.47,-0.19,460.3,0.069,12.561,0.004,0.8,2,48.6388347,8.9427285
15.1,-0.45,-0.2,460.3,0.003,12.554,0.001,0.44,2,48.6388345,8.9427287
15.2,-0.47,-0.2,460.3,0.106,12.569,-0.002,0.0,2,48.6388345,8.9427285
15.3,-0.47,-0.2,460.4,0.077,12.555,-0.009,0.8,2,48.6388345,8.9427285
15.4,-0.45,-0.22,460.4,0.045,12.542,-0.006,0.88,2,48.6388343,8.9427287
15.5,-0.48,-0.22,460.4,0.005,12.528,-0.005,0.67,2,48.6388343,8.9427283
15.6,-0.48,-0.2,460.4,0.166,12.539,0.006,0.33,2,48.6388345,8.9427283
15.8,-0.48,-0.22,460.4,0.087,12.544,0.004,0.0,2,48.6388343,8.9427283
16.0,-0.48,-0.22,460.4,0.013,12.515,0.006,0.66,2,48.6388343,8.9427283
16.1,-0.48,-0.24,460.4,0.05,12.487,0.01,0.0,2,48.6388342,8.9427283
