t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,461.2,0.93,12.016,0.061,0.0,2,48.6388268,8.9427392
0.1,0.0,0.0,461.1,0.909,12.014,0.06,0.8,2,48.6388268,8.9427392
0.2,-0.01,-0.02,461.1,0.132,12.015,0.06,1.4,2,48.6388267,8.942739
0.3,-0.02,0.02,461.1,0.058,12.016,0.06,0.44,2,48.638827,8.9427388
0.4,-0.04,0.02,461.2,-0.026,12.017,0.215,0.44,2,48.638827,8.9427387
0.5,-0.05,0.02,461.2,-0.042,12.014,0.484,0.44,2,48.638827,8.9427385
0.6,-0.04,0.02,461.2,0.108,12.007,0.906,0.44,2,48.638827,8.9427387
0.7,-0.05,0.02,461.2,0.119,12.004,0.96,0.0,2,48.638827,8.9427385
0.8,-0.05,0.02,461.2,0.085,12.004,0.988,0.88,2,48.638827,8.9427385
0.9,-0.02,0.02,461.2,0.127,12.007,0.796,1.88,2,48.638827,8.9427388
1.0,-0.06,0.06,461.2,0.18,12.01,0.578,0.66,2,48.6388273,8.9427383
1.1,-0.06,0.04,461.2,0.23,12.012,0.301,1.11,2,48.6388272,8.9427383
1.2,-0.04,0.02,461.2,0.074,12.015,0.073,1.6,2,48.638827,8.9427387
1.3,-0.06,0.06,461.2,0.227,12.016,0.07,0.8,2,48.6388273,8.9427383
1.4,-0.07,0.04,461.2,0.172,12.017,0.067,1.6,2,48.6388272,8.9427382
1.5,-0.1,0.07,461.2,0.23,12.016,0.063,0.44,2,48.6388275,8.9427378
1.6,-0.09,0.07,461.2,0.132,12.015,0.066,0.44,2,48.6388275,8.942738
1.7,-0.1,0.07,461.1,0.159,12.015,0.063,0.55,2,48.6388275,8.9427378
1.9,-0.12,0.09,461.1,0.143,12.015,0.059,0.44,2,48.6388277,8.9427375
2.0,-0.13,0.09,461.1,0.206,12.016,0.059,0.0,2,48.6388277,8.9427373
2.1,-0.13,0.09,461.1,0.164,12.016,0.063,0.44,2,48.6388277,8.9427373
2.2,-0.15,0.09,461.1,0.129,12.014,0.066,0.44,2,48.6388277,8.9427372
2.3,-0.16,0.09,461.1,0.085,12.014,0.064,0.44,2,48.6388277,8.942737
2.4,-0.17,0.09,461.1,0.148,12.014,0.06,0.8,2,48.6388277,8.9427368
2.5,-0.18,0.11,461.1,0.166,12.017,0.053,0.0,2,48.6388278,8.9427367
2.6,-0.18,0.11,461.1,0.227,12.018,0.051,0.44,2,48.6388278,8.9427367
2.7,-0.2,0.11,461.1,0.283,12.017,0.058,0.33,2,48.6388278,8.9427365
2.9,-0.2,0.13,461.1,0.124,12.015,0.063,0.0,2,48.638828,8.9427365
3.0,-0.2,0.13,461.1,0.063,12.015,0.068,0.44,2,48.638828,8.9427365
3.1,-0.21,0.13,461.1,0.182,12.016,0.068,0.8,2,48.638828,8.9427363
3.2,-0.2,0.11,461.1,0.254,12.016,0.065,1.1,2,48.6388278,8.9427365
3.3,-0.17,0.09,461.1,0.169,12.015,0.059,1.1,2,48.6388277,8.9427368
3.4,-0.2,0.11,461.1,0.322,12.015,0.062,0.67,2,48.6388278,8.9427365
3.5,-0.2,0.13,461.1,0.174,12.016,0.062,0.8,2,48.638828,8.9427365
3.6,-0.18,0.11,461.1,0.23,12.016,0.066,0.0,2,48.6388278,8.9427367
3.7,-0.18,0.11,461.2,0.333,12.016,0.058,0.4,2,48.6388278,8.9427367
3.9,-0.2,0.13,461.1,0.301,12.015,0.066,0.67,2,48.638828,8.9427365
4.0,-0.2,0.11,461.1,0.283,12.015,0.061,0.88,2,48.6388278,8.9427365
4.1,-0.22,0.11,461.1,0.166,12.016,0.06,1.32,2,48.6388278,8.9427362
4.2,-0.18,0.11,461.1,0.209,12.017,0.054,0.8,2,48.6388278,8.9427367
4.3,-0.17,0.09,461.1,0.18,12.016,0.057,0.8,2,48.6388277,8.9427368
4.4,-0.18,0.11,461.0,0.256,12.015,0.059,0.8,2,48.6388278,8.9427367
4.5,-0.17,0.09,461.0,0.299,12.015,0.064,0.44,2,48.6388277,8.9427368
