t,x,y,altGps,altBaro,voltage,current,sats,lat,lon
0.0,0.0,0.0,458.9,2.05,12.58,0.067,2,48.6388323,8.9427253
0.1,-0.01,0.0,458.9,1.99,12.58,0.065,2,48.6388323,8.9427252
0.2,-0.01,-0.02,458.9,-0.011,12.581,0.064,2,48.6388322,8.9427252
0.3,-0.01,-0.02,459.0,0.005,12.581,0.063,2,48.6388322,8.9427252
0.4,-0.02,-0.02,459.0,-0.048,12.582,0.058,2,48.6388322,8.942725
0.5,-0.02,-0.02,459.0,-0.085,12.581,0.065,2,48.6388322,8.942725
0.6,-0.02,-0.02,459.0,-0.09,12.582,0.066,2,48.6388322,8.942725
0.7,-0.04,-0.02,459.0,-0.069,12.581,0.09,2,48.6388322,8.9427248
0.8,-0.02,-0.02,459.0,-0.079,12.581,0.098,2,48.6388322,8.942725
1.0,-0.02,-0.02,459.0,-0.085,12.579,0.109,2,48.6388322,8.942725
1.1,-0.02,-0.04,459.0,-0.021,12.579,0.105,2,48.638832,8.942725
1.2,-0.04,-0.02,459.0,-0.037,12.579,0.096,2,48.6388322,8.9427248
1.3,-0.04,-0.04,459.0,-0.111,12.58,0.096,2,48.638832,8.9427248
1.4,-0.04,-0.04,459.0,-0.095,12.581,0.102,2,48.638832,8.9427248
1.5,-0.04,-0.02,459.0,-0.069,12.581,0.125,2,48.6388322,8.9427248
1.6,-0.05,-0.04,459.1,-0.116,12.58,0.139,2,48.638832,8.9427247
1.7,-0.05,-0.04,459.1,-0.111,12.579,0.143,2,48.638832,8.9427247
1.8,-0.05,-0.04,459.1,-0.011,12.58,0.13,2,48.638832,8.9427247
2.0,-0.05,-0.04,459.1,-0.095,12.58,0.087,2,48.638832,8.9427247
2.1,-0.05,-0.04,459.1,-0.032,12.581,0.072,2,48.638832,8.9427247
2.2,-0.05,-0.04,459.1,-0.106,12.58,0.066,2,48.638832,8.9427247
2.3,-0.06,-0.04,459.1,0.021,12.581,0.064,2,48.638832,8.9427245
2.4,-0.06,-0.04,459.2,-0.011,12.581,0.065,2,48.638832,8.9427245
2.5,-0.06,-0.04,459.2,0.055,12.58,0.067,2,48.638832,8.9427245
2.6,-0.07,-0.04,459.2,-0.037,12.58,0.064,2,48.638832,8.9427243
2.7,-0.07,-0.04,459.2,0.04,12.58,0.062,2,48.638832,8.9427243
2.8,-0.07,-0.06,459.2,0.082,12.58,0.062,2,48.6388318,8.9427243
3.0,-0.09,-0.04,459.2,0.037,12.58,0.064,2,48.638832,8.9427242
3.1,-0.09,-0.06,459.3,0.034,12.581,0.063,2,48.6388318,8.9427242
3.2,-0.09,-0.06,459.3,0.034,12.58,0.061,2,48.6388318,8.9427242
3.3,-0.09,-0.06,459.3,-0.111,12.58,0.057,2,48.6388318,8.9427242
3.4,-0.1,-0.06,459.3,-0.069,12.58,0.063,2,48.6388318,8.942724
3.5,-0.1,-0.06,459.3,-0.058,12.58,0.062,2,48.6388318,8.942724
3.6,-0.1,-0.06,459.3,-0.074,12.581,0.068,2,48.6388318,8.942724
3.7,-0.11,-0.06,459.4,-0.032,12.582,0.065,2,48.6388318,8.9427238
3.8,-0.11,-0.07,459.4,-0.016,12.582,0.068,2,48.6388317,8.9427238
4.0,-0.11,-0.07,459.4,0.058,12.581,0.065,2,48.6388317,8.9427238
4.1,-0.11,-0.07,459.4,0.005,12.581,0.07,2,48.6388317,8.9427238
4.2,-0.11,-0.07,459.4,0.026,12.582,0.068,2,48.6388317,8.9427238
4.3,-0.12,-0.07,459.4,0.048,12.581,0.069,2,48.6388317,8.9427237
4.4,-0.12,-0.07,459.5,0.116,12.581,0.069,2,48.6388317,8.9427237
4.5,-0.12,-0.07,459.5,0.026,12.58,0.07,2,48.6388317,8.9427237
4.6,-0.12,-0.07,459.5,0.029,12.579,0.069,2,48.6388317,8.9427237
4.7,-0.12,-0.07,459.5,-0.1,12.58,0.066,2,48.6388317,8.9427237
4.8,-0.12,-0.07,459.5,-0.085,12.579,0.068,2,48.6388317,8.9427237
5.0,-0.13,-0.07,459.5,-0.127,12.578,0.066,2,48.6388317,8.9427235
5.1,-0.13,-0.09,459.5,-0.053,12.578,0.07,2,48.6388315,8.9427235
5.2,-0.13,-0.09,459.5,-0.042,12.579,0.064,2,48.6388315,8.9427235
5.3,-0.13,-0.09,459.6,-0.011,12.58,0.068,2,48.6388315,8.9427235
5.4,-0.15,-0.09,459.6,0.005,12.581,0.062,2,48.6388315,8.9427233
5.5,-0.15,-0.09,459.6,-0.016,12.581,0.063,2,48.6388315,8.9427233
5.6,-0.15,-0.09,459.6,-0.048,12.58,0.061,2,48.6388315,8.9427233
5.7,-0.15,-0.09,459.6,0.024,12.58,0.063,2,48.6388315,8.9427233
5.8,-0.16,-0.09,459.6,-0.042,12.58,0.061,2,48.6388315,8.9427232
6.0,-0.16,-0.09,459.6,0.016,12.579,0.066,2,48.6388315,8.9427232
