t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,459.1,0.896,12.616,0.023,0.0,2,48.6388248,8.9427547
0.1,0.0,0.0,459.1,-0.026,12.617,0.023,0.44,2,48.6388248,8.9427547
0.2,-0.01,0.0,459.1,0.082,12.618,0.028,0.44,2,48.6388248,8.9427545
0.3,-0.02,0.0,459.1,0.011,12.618,0.064,0.33,2,48.6388248,8.9427543
0.5,-0.02,-0.02,459.1,0.122,12.616,0.084,0.0,2,48.6388247,8.9427543
0.6,-0.02,-0.02,459.1,-0.048,12.617,0.028,0.0,2,48.6388247,8.9427543
0.8,-0.02,-0.02,459.1,0.095,12.616,0.057,0.0,2,48.6388247,8.9427543
1.0,-0.02,-0.02,459.1,0.005,12.615,0.083,0.33,2,48.6388247,8.9427543
1.2,-0.02,-0.04,459.1,-0.053,12.615,0.037,0.33,2,48.6388245,8.9427543
1.4,-0.02,-0.02,459.1,0.087,12.614,0.078,0.0,2,48.6388247,8.9427543
1.6,-0.02,-0.02,459.1,-0.1,12.616,0.025,0.0,2,48.6388247,8.9427543
1.8,-0.02,-0.02,459.1,-0.058,12.615,0.021,0.22,2,48.6388247,8.9427543
2.0,-0.04,-0.02,459.1,-0.095,12.615,0.075,0.67,2,48.6388247,8.9427542
2.1,-0.04,-0.04,459.1,-0.1,12.615,0.108,0.0,2,48.6388245,8.9427542
2.2,-0.04,-0.04,459.0,-0.016,12.615,0.125,0.0,2,48.6388245,8.9427542
2.3,-0.04,-0.04,459.0,-0.026,12.616,0.094,0.44,2,48.6388245,8.9427542
2.4,-0.02,-0.04,459.0,0.063,12.617,0.053,0.44,2,48.6388245,8.9427543
2.5,-0.04,-0.04,459.0,-0.042,12.618,0.025,0.67,2,48.6388245,8.9427542
2.6,-0.04,-0.06,458.9,-0.09,12.618,0.009,0.0,2,48.6388243,8.9427542
2.8,-0.04,-0.06,458.9,-0.1,12.616,0.015,0.0,2,48.6388243,8.9427542
3.0,-0.04,-0.06,458.9,0.0,12.617,0.01,0.0,2,48.6388243,8.9427542
3.1,-0.04,-0.06,458.9,-0.032,12.617,0.013,0.44,2,48.6388243,8.9427542
3.2,-0.02,-0.06,458.8,0.042,12.617,0.016,0.8,2,48.6388243,8.9427543
3.3,-0.01,-0.04,458.8,0.079,12.618,0.017,0.44,2,48.6388245,8.9427545
3.4,0.0,-0.04,458.8,-0.005,12.618,0.017,0.44,2,48.6388245,8.9427547
3.5,0.01,-0.04,458.7,0.029,12.618,0.017,0.44,2,48.6388245,8.9427548
3.6,0.02,-0.04,458.7,-0.069,12.618,0.021,0.22,2,48.6388245,8.942755
3.8,0.04,-0.04,458.7,0.077,12.618,0.018,0.44,2,48.6388245,8.9427552
3.9,0.05,-0.04,458.7,0.098,12.618,0.017,0.44,2,48.6388245,8.9427553
4.0,0.06,-0.04,458.7,-0.021,12.617,0.013,0.67,2,48.6388245,8.9427555
4.1,0.06,-0.06,458.7,-0.106,12.618,0.015,0.44,2,48.6388243,8.9427555
4.2,0.07,-0.06,458.7,-0.122,12.618,0.015,0.44,2,48.6388243,8.9427557
4.3,0.09,-0.06,458.7,-0.106,12.619,0.022,0.0,2,48.6388243,8.9427558
4.4,0.09,-0.06,458.7,0.1,12.618,0.026,0.44,2,48.6388243,8.9427558
4.5,0.1,-0.06,458.7,0.172,12.618,0.022,0.44,2,48.6388243,8.942756
4.6,0.11,-0.06,458.7,0.172,12.618,0.016,0.0,2,48.6388243,8.9427562
4.8,0.11,-0.06,458.7,0.225,12.617,0.018,0.44,2,48.6388243,8.9427562
4.9,0.12,-0.06,458.8,0.267,12.617,0.018,0.66,2,48.6388243,8.9427563
5.0,0.12,-0.07,458.8,0.217,12.617,0.027,0.44,2,48.6388242,8.9427563
5.1,0.13,-0.07,458.8,0.124,12.618,0.02,0.0,2,48.6388242,8.9427565
5.2,0.13,-0.07,458.8,0.174,12.618,0.022,0.44,2,48.6388242,8.9427565
5.3,0.15,-0.07,458.8,0.082,12.618,0.021,0.44,2,48.6388242,8.9427567
5.4,0.16,-0.07,458.8,0.061,12.618,0.023,0.44,2,48.6388242,8.9427568
5.5,0.17,-0.07,458.8,0.103,12.618,0.018,0.0,2,48.6388242,8.942757
5.6,0.17,-0.07,458.8,0.037,12.618,0.012,0.0,2,48.6388242,8.942757
5.8,0.17,-0.07,458.8,-0.053,12.618,0.014,0.0,2,48.6388242,8.942757
