t,x,y,altGps,altBaro,voltage,current,sats,lat,lon
0.0,0.0,0.0,459.5,-0.756,12.596,0.117,2,48.6388452,8.942734
0.2,-0.01,-0.04,459.5,0.008,12.596,0.115,2,48.6388448,8.9427338
0.3,0.0,-0.02,459.5,0.071,12.597,0.112,2,48.638845,8.942734
0.4,0.0,0.0,459.5,0.063,12.597,0.112,2,48.6388452,8.942734
0.5,0.02,0.02,459.5,0.048,12.597,0.113,2,48.6388453,8.9427343
0.6,0.05,0.02,459.6,0.053,12.598,0.113,2,48.6388453,8.9427347
0.7,0.05,0.0,459.6,0.024,12.597,0.111,2,48.6388452,8.9427347
0.8,0.09,-0.02,459.6,-0.085,12.597,0.109,2,48.638845,8.9427352
0.9,0.1,0.0,459.6,-0.042,12.597,0.11,2,48.6388452,8.9427353
1.0,0.07,0.02,459.6,0.013,12.597,0.106,2,48.6388453,8.942735
1.2,0.09,0.0,459.6,-0.037,12.597,0.107,2,48.6388452,8.9427352
1.3,0.06,0.04,459.6,0.103,12.597,0.11,2,48.6388455,8.9427348
1.4,0.06,0.04,459.6,0.077,12.596,0.111,2,48.6388455,8.9427348
1.5,0.05,0.04,459.6,0.185,12.596,0.111,2,48.6388455,8.9427347
1.6,0.04,0.02,459.6,-0.011,12.597,0.107,2,48.6388453,8.9427345
1.7,0.02,0.04,459.6,0.055,12.597,0.109,2,48.6388455,8.9427343
1.8,0.01,0.04,459.6,0.005,12.597,0.11,2,48.6388455,8.9427342
1.9,0.01,0.06,459.6,0.185,12.597,0.112,2,48.6388457,8.9427342
2.0,0.0,0.06,459.5,0.034,12.597,0.111,2,48.6388457,8.942734
2.2,0.01,0.06,459.6,0.026,12.598,0.107,2,48.6388457,8.9427342
2.3,0.0,0.09,459.6,0.042,12.597,0.108,2,48.638846,8.942734
2.4,0.0,0.09,459.5,0.1,12.597,0.109,2,48.638846,8.942734
2.4,0.0,0.09,459.5,0.071,12.597,0.113,2,48.638846,8.942734
2.5,0.0,0.09,459.6,0.098,12.597,0.112,2,48.638846,8.942734
2.6,0.01,0.09,459.6,0.034,12.598,0.106,2,48.638846,8.9427342
2.7,0.01,0.09,459.6,-0.085,12.598,0.099,2,48.638846,8.9427342
2.8,0.01,0.09,459.7,-0.016,12.597,0.094,2,48.638846,8.9427342
2.9,0.02,0.07,459.7,-0.058,12.597,0.104,2,48.6388458,8.9427343
3.0,0.05,0.07,459.7,0.066,12.597,0.11,2,48.6388458,8.9427347
3.2,0.09,0.09,459.7,0.045,12.596,0.112,2,48.638846,8.9427352
3.3,0.07,0.06,459.8,0.061,12.596,0.11,2,48.6388457,8.942735
3.4,0.1,0.06,459.8,0.164,12.596,0.112,2,48.6388457,8.9427353
3.5,0.11,0.06,459.8,0.045,12.596,0.112,2,48.6388457,8.9427355
3.6,0.1,0.04,459.7,0.026,12.596,0.114,2,48.6388455,8.9427353
3.7,0.11,0.02,459.7,-0.074,12.597,0.115,2,48.6388453,8.9427355
3.8,0.11,0.0,459.7,-0.095,12.597,0.113,2,48.6388452,8.9427355
3.9,0.1,0.0,459.7,0.024,12.597,0.111,2,48.6388452,8.9427353
4.0,0.09,-0.02,459.7,0.0,12.596,0.109,2,48.638845,8.9427352
4.2,0.07,-0.02,459.7,0.0,12.596,0.107,2,48.638845,8.942735
4.3,0.07,-0.04,459.7,0.021,12.596,0.113,2,48.6388448,8.942735
4.4,0.09,-0.07,459.7,0.082,12.596,0.104,2,48.6388445,8.9427352
4.5,0.1,-0.09,459.7,-0.063,12.596,0.11,2,48.6388443,8.9427353
4.6,0.11,-0.11,459.7,-0.159,12.596,0.109,2,48.6388442,8.9427355
4.7,0.11,-0.11,459.7,-0.143,12.596,0.115,2,48.6388442,8.9427355
4.8,0.11,-0.13,459.7,-0.005,12.597,0.11,2,48.638844,8.9427355
4.9,0.11,-0.15,459.7,0.024,12.597,0.105,2,48.6388438,8.9427355
5.0,0.11,-0.15,459.7,0.021,12.597,0.107,2,48.6388438,8.9427355
5.2,0.1,-0.19,459.7,0.016,12.596,0.107,2,48.6388435,8.9427353
5.3,0.1,-0.19,459.6,-0.011,12.596,0.107,2,48.6388435,8.9427353
5.4,0.09,-0.19,459.6,0.082,12.597,0.107,2,48.6388435,8.9427352
5.4,0.09,-0.19,459.6,0.203,12.597,0.107,2,48.6388435,8.9427352
5.5,0.09,-0.2,459.6,0.082,12.598,0.113,2,48.6388433,8.9427352
5.6,0.07,-0.2,459.6,-0.074,12.597,0.115,2,48.6388433,8.942735
5.7,0.05,-0.19,459.6,0.066,12.597,0.112,2,48.6388435,8.9427347
5.8,0.05,-0.2,459.6,0.106,12.597,0.103,2,48.6388433,8.9427347
5.9,0.04,-0.2,459.6,0.108,12.597,0.098,2,48.6388433,8.9427345
6.0,0.05,-0.2,459.6,0.026,12.597,0.1,2,48.6388433,8.9427347
6.2,0.05,-0.22,459.6,0.063,12.596,0.105,2,48.6388432,8.9427347
6.3,0.06,-0.22,459.6,0.061,12.596,0.106,2,48.6388432,8.9427348
6.5,0.06,-0.26,459.6,0.032,12.597,0.107,2,48.6388428,8.9427348
6.6,0.07,-0.28,459.5,-0.032,12.597,0.101,2,48.6388427,8.942735
6.7,0.07,-0.28,459.5,0.003,12.596,0.106,2,48.6388427,8.942735
6.8,0.06,-0.3,459.5,0.079,12.597,0.104,2,48.6388425,8.9427348
6.9,0.06,-0.32,459.5,0.206,12.597,0.099,2,48.6388423,8.9427348
7.0,0.05,-0.32,459.5,-0.026,12.597,0.103,2,48.6388423,8.9427347
7.2,0.04,-0.33,459.5,-0.016,12.596,0.099,2,48.6388422,8.9427345
7.3,0.02,-0.33,459.5,-0.058,12.595,0.101,2,48.6388422,8.9427343
7.5,0.0,-0.33,459.4,0.077,12.596,0.112,2,48.6388422,8.942734
7.6,-0.01,-0.32,459.4,0.048,12.596,0.106,2,48.6388423,8.9427338
7.7,-0.02,-0.32,459.4,0.085,12.597,0.101,2,48.6388423,8.9427337
