t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,459.8,0.695,12.627,0.046,0.0,2,48.6388387,8.9427238
0.1,0.0,0.0,459.8,0.034,12.627,0.045,0.33,2,48.6388387,8.9427238
0.3,0.0,-0.02,459.8,0.079,12.627,0.044,0.44,2,48.6388385,8.9427238
0.4,-0.01,-0.02,459.8,0.055,12.628,0.041,0.0,2,48.6388385,8.9427237
0.5,-0.01,-0.02,459.8,0.018,12.629,0.035,0.0,2,48.6388385,8.9427237
0.6,-0.01,-0.02,459.8,-0.005,12.629,0.038,0.0,2,48.6388385,8.9427237
0.7,-0.01,-0.02,459.8,0.066,12.629,0.038,0.44,2,48.6388385,8.9427237
0.8,-0.02,-0.02,459.8,0.021,12.628,0.101,0.0,2,48.6388385,8.9427235
0.9,-0.02,-0.02,459.8,0.061,12.627,0.187,0.67,2,48.6388385,8.9427235
1.0,-0.02,0.0,459.8,0.055,12.626,0.255,0.0,2,48.6388387,8.9427235
1.1,-0.02,0.0,459.8,0.166,12.627,0.176,0.22,2,48.6388387,8.9427235
1.3,-0.04,0.0,459.8,0.122,12.629,0.04,0.44,2,48.6388387,8.9427233
1.4,-0.05,0.0,459.8,0.209,12.628,0.069,0.0,2,48.6388387,8.9427232
1.5,-0.05,0.0,459.8,0.092,12.627,0.094,0.66,2,48.6388387,8.9427232
1.6,-0.05,0.02,459.8,0.137,12.627,0.142,0.44,2,48.6388388,8.9427232
1.7,-0.06,0.02,459.8,0.148,12.627,0.126,0.0,2,48.6388388,8.942723
1.8,-0.06,0.02,459.8,0.203,12.628,0.088,0.0,2,48.6388388,8.942723
1.9,-0.06,0.02,459.8,0.177,12.628,0.032,0.0,2,48.6388388,8.942723
2.0,-0.06,0.02,459.8,0.161,12.627,0.093,0.0,2,48.6388388,8.942723
2.1,-0.06,0.02,459.8,0.106,12.625,0.186,0.7,2,48.6388388,8.942723
2.3,-0.07,-0.02,459.8,0.137,12.625,0.172,0.44,2,48.6388385,8.9427228
2.4,-0.09,-0.02,459.8,0.058,12.626,0.103,0.44,2,48.6388385,8.9427227
2.5,-0.07,-0.02,459.9,0.106,12.625,0.221,0.44,2,48.6388385,8.9427228
2.6,-0.09,-0.02,459.9,0.071,12.624,0.291,0.0,2,48.6388385,8.9427227
2.7,-0.09,-0.02,459.9,-0.032,12.623,0.366,0.67,2,48.6388385,8.9427227
2.8,-0.09,-0.04,459.9,0.026,12.623,0.314,0.0,2,48.6388383,8.9427227
2.9,-0.09,-0.04,459.9,0.137,12.623,0.322,0.44,2,48.6388383,8.9427227
3.0,-0.1,-0.04,459.9,0.071,12.623,0.356,0.0,2,48.6388383,8.9427225
3.1,-0.1,-0.04,459.9,0.106,12.622,0.445,0.22,2,48.6388383,8.9427225
3.3,-0.11,-0.04,459.9,0.166,12.62,0.556,0.0,2,48.6388383,8.9427223
3.4,-0.11,-0.04,459.9,0.108,12.62,0.547,0.0,2,48.6388383,8.9427223
3.5,-0.11,-0.04,459.9,0.111,12.622,0.383,0.8,2,48.6388383,8.9427223
3.6,-0.1,-0.06,459.9,0.108,12.625,0.205,0.8,2,48.6388382,8.9427225
3.7,-0.11,-0.07,459.8,0.085,12.627,0.038,0.0,2,48.638838,8.9427223
3.8,-0.11,-0.07,459.8,0.016,12.627,0.041,0.8,2,48.638838,8.9427223
3.9,-0.12,-0.09,459.8,-0.016,12.627,0.046,0.0,2,48.6388378,8.9427222
4.0,-0.12,-0.09,459.8,0.217,12.626,0.046,0.44,2,48.6388378,8.9427222
4.1,-0.13,-0.09,459.8,0.198,12.627,0.042,0.33,2,48.6388378,8.942722
4.3,-0.13,-0.11,459.8,0.071,12.627,0.038,0.44,2,48.6388377,8.942722
4.4,-0.15,-0.11,459.8,0.137,12.627,0.039,0.0,2,48.6388377,8.9427218
4.5,-0.15,-0.11,459.8,0.214,12.626,0.036,0.0,2,48.6388377,8.9427218
4.6,-0.15,-0.11,459.8,0.159,12.627,0.031,0.44,2,48.6388377,8.9427218
4.7,-0.16,-0.11,459.8,0.156,12.627,0.035,0.44,2,48.6388377,8.9427217
4.8,-0.17,-0.11,459.8,0.148,12.627,0.034,0.0,2,48.6388377,8.9427215
4.9,-0.17,-0.11,459.8,0.087,12.627,0.031,0.0,2,48.6388377,8.9427215
5.0,-0.17,-0.11,459.8,0.095,12.627,0.037,0.67,2,48.6388377,8.9427215
5.1,-0.17,-0.13,459.8,0.037,12.627,0.041,0.44,2,48.6388375,8.9427215
5.3,-0.2,-0.13,459.8,0.048,12.628,0.043,0.44,2,48.6388375,8.9427212
5.4,-0.18,-0.13,459.8,0.156,12.628,0.043,0.67,2,48.6388375,8.9427213
5.5,-0.18,-0.15,459.8,0.106,12.628,0.04,0.66,2,48.6388373,8.9427213
5.6,-0.18,-0.17,459.8,0.082,12.628,0.032,0.0,2,48.6388372,8.9427213
5.7,-0.18,-0.17,459.8,0.172,12.627,0.03,0.8,2,48.6388372,8.9427213
5.8,-0.17,-0.19,459.7,0.04,12.627,0.033,0.44,2,48.638837,8.9427215
5.9,-0.18,-0.19,459.7,0.087,12.627,0.038,0.44,2,48.638837,8.9427213
6.0,-0.2,-0.19,459.7,0.169,12.627,0.035,0.67,2,48.638837,8.9427212
6.1,-0.2,-0.2,459.7,0.193,12.628,0.028,0.44,2,48.6388368,8.9427212
6.3,-0.22,-0.2,459.7,0.166,12.628,0.033,0.0,2,48.6388368,8.9427208
6.4,-0.22,-0.2,459.7,0.196,12.628,0.041,0.0,2,48.6388368,8.9427208
6.5,-0.22,-0.2,459.7,0.169,12.627,0.042,0.0,2,48.6388368,8.9427208
6.6,-0.22,-0.2,459.7,0.103,12.627,0.041,0.66,2,48.6388368,8.9427208
6.7,-0.22,-0.22,459.7,0.092,12.627,0.041,0.66,2,48.6388367,8.9427208
6.8,-0.22,-0.2,459.7,-0.011,12.627,0.04,0.66,2,48.6388368,8.9427208
6.9,-0.22,-0.22,459.7,0.172,12.628,0.037,0.0,2,48.6388367,8.9427208
7.0,-0.22,-0.22,459.7,0.193,12.628,0.034,0.44,2,48.6388367,8.9427208
7.1,-0.23,-0.22,459.7,0.209,12.628,0.044,0.0,2,48.6388367,8.9427207
7.3,-0.23,-0.22,459.6,0.069,12.628,0.042,0.0,2,48.6388367,8.9427207
7.4,-0.23,-0.22,459.6,0.193,12.628,0.042,0.67,2,48.6388367,8.9427207
7.5,-0.23,-0.24,459.6,0.135,12.628,0.043,0.0,2,48.6388365,8.9427207
7.6,-0.23,-0.24,459.6,0.248,12.628,0.041,0.0,2,48.6388365,8.9427207
7.7,-0.23,-0.24,459.6,0.153,12.628,0.042,0.67,2,48.6388365,8.9427207
7.8,-0.23,-0.26,459.5,0.209,12.628,0.038,0.0,2,48.6388363,8.9427207
7.9,-0.23,-0.26,459.5,0.032,12.627,0.037,0.0,2,48.6388363,8.9427207
8.0,-0.23,-0.26,459.5,0.026,12.627,0.032,0.8,2,48.6388363,8.9427207
8.1,-0.22,-0.28,459.5,0.082,12.627,0.037,0.22,2,48.6388362,8.9427208
8.3,-0.23,-0.28,459.5,0.166,12.628,0.033,0.44,2,48.6388362,8.9427207
8.4,-0.22,-0.28,459.5,0.079,12.628,0.039,0.67,2,48.6388362,8.9427208
8.5,-0.22,-0.3,459.4,0.042,12.629,0.041,0.44,2,48.638836,8.9427208
8.6,-0.23,-0.3,459.4,0.058,12.628,0.041,0.44,2,48.638836,8.9427207
8.7,-0.22,-0.3,459.4,0.026,12.629,0.04,0.0,2,48.638836,8.9427208
8.8,-0.22,-0.3,459.4,0.235,12.629,0.041,0.0,2,48.638836,8.9427208
8.9,-0.22,-0.3,459.4,0.193,12.629,0.039,0.0,2,48.638836,8.9427208
9.0,-0.22,-0.3,459.3,0.156,12.629,0.032,0.0,2,48.638836,8.9427208
9.1,-0.22,-0.3,459.3,0.055,12.629,0.033,0.33,2,48.638836,8.9427208
9.3,-0.22,-0.32,459.3,0.058,12.628,0.038,0.0,2,48.6388358,8.9427208
9.4,-0.22,-0.32,459.3,0.071,12.628,0.038,0.0,2,48.6388358,8.9427208
9.5,-0.22,-0.32,459.3,0.092,12.627,0.033,0.0,2,48.6388358,8.9427208
9.6,-0.22,-0.32,459.2,0.156,12.628,0.028,0.0,2,48.6388358,8.9427208
9.7,-0.22,-0.32,459.2,0.048,12.627,0.029,0.66,2,48.6388358,8.9427208
9.8,-0.22,-0.33,459.2,0.124,12.628,0.034,0.0,2,48.6388357,8.9427208
9.9,-0.22,-0.33,459.1,0.1,12.627,0.031,0.0,2,48.6388357,8.9427208
10.0,-0.22,-0.33,459.1,0.026,12.628,0.034,0.67,2,48.6388357,8.9427208
10.1,-0.22,-0.35,459.1,0.048,12.628,0.034,0.4,2,48.6388355,8.9427208
10.3,-0.23,-0.37,459.0,0.18,12.628,0.043,0.8,2,48.6388353,8.9427207
10.4,-0.24,-0.39,459.1,0.127,12.628,0.048,0.8,2,48.6388352,8.9427205
10.5,-0.23,-0.41,459.0,0.079,12.628,0.045,0.0,2,48.638835,8.9427207
10.6,-0.23,-0.41,459.0,0.122,12.628,0.045,0.44,2,48.638835,8.9427207
10.7,-0.22,-0.41,459.0,0.169,12.628,0.038,0.44,2,48.638835,8.9427208
10.8,-0.21,-0.41,459.0,0.085,12.628,0.038,0.0,2,48.638835,8.942721
10.9,-0.21,-0.41,459.0,0.135,12.628,0.031,0.0,2,48.638835,8.942721
11.0,-0.21,-0.41,459.0,0.159,12.628,0.036,0.8,2,48.638835,8.942721
11.1,-0.2,-0.43,459.0,0.114,12.628,0.031,0.4,2,48.6388348,8.9427212
11.3,-0.21,-0.44,458.9,0.085,12.627,0.035,0.67,2,48.6388347,8.942721
11.4,-0.21,-0.46,458.9,0.092,12.627,0.042,1.33,2,48.6388345,8.942721
11.5,-0.21,-0.5,458.8,0.069,12.627,0.04,0.67,2,48.6388342,8.942721
11.6,-0.21,-0.52,458.8,0.151,12.628,0.041,0.8,2,48.638834,8.942721
11.7,-0.22,-0.54,458.8,0.196,12.628,0.037,0.66,2,48.6388338,8.9427208
11.8,-0.22,-0.56,458.8,0.053,12.627,0.042,0.67,2,48.6388337,8.9427208
11.9,-0.22,-0.57,458.8,0.103,12.627,0.043,0.8,2,48.6388335,8.9427208
12.0,-0.23,-0.59,458.7,0.092,12.627,0.043,0.66,2,48.6388333,8.9427207
12.1,-0.23,-0.61,458.7,0.071,12.628,0.036,0.4,2,48.6388332,8.9427207
12.3,-0.24,-0.63,458.7,0.092,12.627,0.038,0.67,2,48.638833,8.9427205
12.4,-0.24,-0.65,458.7,0.058,12.628,0.043,0.66,2,48.6388328,8.9427205
12.5,-0.24,-0.67,458.6,0.137,12.628,0.046,0.67,2,48.6388327,8.9427205
12.6,-0.24,-0.69,458.6,0.103,12.628,0.043,0.88,2,48.6388325,8.9427205
12.7,-0.22,-0.69,458.6,0.159,12.628,0.043,0.8,2,48.6388325,8.9427208
12.8,-0.23,-0.7,458.6,0.14,12.628,0.04,0.8,2,48.6388323,8.9427207
12.9,-0.22,-0.72,458.6,0.071,12.628,0.041,0.0,2,48.6388322,8.9427208
13.0,-0.22,-0.72,458.5,0.137,12.628,0.037,0.0,2,48.6388322,8.9427208
13.1,-0.22,-0.72,458.5,0.159,12.627,0.041,0.33,2,48.6388322,8.9427208
13.3,-0.22,-0.74,458.5,0.137,12.627,0.03,0.44,2,48.638832,8.9427208
13.4,-0.21,-0.74,458.5,0.063,12.627,0.035,0.44,2,48.638832,8.942721
