t,x,y,altGps,altBaro,voltage,current,sats,lat,lon
0.0,0.0,0.0,459.4,357.241,12.542,0.058,2,48.638823,8.9427465
0.6,0.01,-0.02,459.5,359.999,12.538,0.064,2,48.6388228,8.9427467
0.8,0.0,0.0,459.5,360.012,12.539,0.076,2,48.638823,8.9427465
0.9,0.01,-0.02,459.5,359.983,12.541,0.086,2,48.6388228,8.9427467
1.0,0.01,0.0,459.5,359.859,12.543,0.093,2,48.638823,8.9427467
1.2,0.01,0.0,459.5,359.981,12.542,0.085,2,48.638823,8.9427467
1.3,0.02,0.02,459.5,359.968,12.541,0.073,2,48.6388232,8.9427468
1.5,0.04,0.02,459.5,359.975,12.541,0.079,2,48.6388232,8.942747
1.6,0.05,0.04,459.4,360.036,12.542,0.105,2,48.6388233,8.9427472
1.8,0.06,0.04,459.4,359.957,12.541,0.11,2,48.6388233,8.9427473
1.9,0.07,0.04,459.4,360.015,12.541,0.102,2,48.6388233,8.9427475
2.1,0.07,0.04,459.4,360.047,12.541,0.061,2,48.6388233,8.9427475
2.3,0.09,0.06,459.4,359.997,12.541,0.061,2,48.6388235,8.9427477
2.5,0.1,0.06,459.4,360.076,12.541,0.057,2,48.6388235,8.9427478
2.6,0.11,0.06,459.4,359.989,12.541,0.057,2,48.6388235,8.942748
2.8,0.11,0.06,459.4,360.026,12.542,0.062,2,48.6388235,8.942748
3.0,0.12,0.06,459.4,359.999,12.54,0.058,2,48.6388235,8.9427482
3.2,0.12,0.06,459.4,359.912,12.542,0.057,2,48.6388235,8.9427482
3.4,0.13,0.06,459.4,359.962,12.542,0.055,2,48.6388235,8.9427483
3.5,0.13,0.06,459.4,359.983,12.541,0.049,2,48.6388235,8.9427483
3.7,0.13,0.06,459.4,360.063,12.54,0.053,2,48.6388235,8.9427483
3.9,0.15,0.07,459.4,360.034,12.542,0.061,2,48.6388237,8.9427485
4.0,0.15,0.07,459.3,359.87,12.541,0.053,2,48.6388237,8.9427485
4.2,0.15,0.07,459.3,359.933,12.54,0.054,2,48.6388237,8.9427485
4.3,0.15,0.07,459.3,360.026,12.541,0.053,2,48.6388237,8.9427485
4.4,0.15,0.07,459.3,360.005,12.542,0.053,2,48.6388237,8.9427485
4.5,0.15,0.07,459.3,359.962,12.543,0.047,2,48.6388237,8.9427485
4.6,0.15,0.07,459.3,360.092,12.542,0.048,2,48.6388237,8.9427485
4.7,0.15,0.07,459.3,360.042,12.541,0.043,2,48.6388237,8.9427485
4.8,0.15,0.07,459.3,360.1,12.542,0.048,2,48.6388237,8.9427485
4.9,0.13,0.07,459.3,360.126,12.542,0.045,2,48.6388237,8.9427483
5.0,0.13,0.07,459.3,359.973,12.542,0.052,2,48.6388237,8.9427483
5.2,0.13,0.07,459.3,360.005,12.542,0.049,2,48.6388237,8.9427483
5.3,0.13,0.07,459.3,360.042,12.542,0.051,2,48.6388237,8.9427483
5.4,0.13,0.07,459.3,359.923,12.543,0.052,2,48.6388237,8.9427483
5.5,0.13,0.07,459.3,359.88,12.542,0.049,2,48.6388237,8.9427483
5.6,0.13,0.07,459.3,359.933,12.542,0.047,2,48.6388237,8.9427483
5.7,0.13,0.07,459.3,359.997,12.541,0.046,2,48.6388237,8.9427483
5.8,0.12,0.06,459.3,359.989,12.542,0.054,2,48.6388235,8.9427482
5.9,0.12,0.06,459.3,359.917,12.543,0.054,2,48.6388235,8.9427482
6.0,0.12,0.06,459.3,360.057,12.543,0.058,2,48.6388235,8.9427482
6.2,0.11,0.06,459.3,360.012,12.542,0.062,2,48.6388235,8.942748
6.4,0.11,0.04,459.3,360.116,12.542,0.063,2,48.6388233,8.942748
6.5,0.11,0.04,459.3,360.042,12.542,0.057,2,48.6388233,8.942748
6.7,0.11,0.04,459.3,360.049,12.542,0.06,2,48.6388233,8.942748
6.8,0.11,0.02,459.4,360.081,12.541,0.059,2,48.6388232,8.942748
6.9,0.11,0.02,459.4,359.941,12.541,0.055,2,48.6388232,8.942748
7.0,0.11,0.0,459.4,360.007,12.541,0.051,2,48.638823,8.942748
7.2,0.11,0.0,459.4,360.01,12.542,0.056,2,48.638823,8.942748
7.4,0.1,0.0,459.4,360.015,12.543,0.055,2,48.638823,8.9427478
7.5,0.1,0.0,459.4,359.981,12.543,0.053,2,48.638823,8.9427478
7.7,0.09,0.0,459.4,360.039,12.542,0.053,2,48.638823,8.9427477
7.9,0.09,0.0,459.4,360.113,12.541,0.056,2,48.638823,8.9427477
8.0,0.09,0.0,459.4,360.039,12.542,0.046,2,48.638823,8.9427477
8.2,0.09,0.0,459.4,360.044,12.542,0.053,2,48.638823,8.9427477
8.4,0.09,0.0,459.4,359.983,12.541,0.059,2,48.638823,8.9427477
8.6,0.09,0.0,459.4,360.081,12.541,0.049,2,48.638823,8.9427477
8.8,0.09,0.0,459.4,359.899,12.542,0.049,2,48.638823,8.9427477
8.9,0.09,0.0,459.4,359.931,12.543,0.051,2,48.638823,8.9427477
9.1,0.09,0.0,459.4,360.015,12.541,0.061,2,48.638823,8.9427477
9.3,0.09,0.02,459.4,359.923,12.542,0.063,2,48.6388232,8.9427477
9.4,0.1,0.02,459.4,360.005,12.543,0.055,2,48.6388232,8.9427478
9.6,0.1,0.02,459.3,359.999,12.541,0.055,2,48.6388232,8.9427478
9.8,0.1,0.04,459.3,359.941,12.542,0.054,2,48.6388233,8.9427478
9.9,0.1,0.02,459.4,359.857,12.542,0.056,2,48.6388232,8.9427478
10.1,0.1,0.02,459.4,360.057,12.541,0.064,2,48.6388232,8.9427478
10.3,0.1,0.02,459.4,359.915,12.541,0.059,2,48.6388232,8.9427478
10.4,0.11,0.04,459.4,359.973,12.542,0.062,2,48.6388233,8.942748
10.6,0.11,0.04,459.4,359.975,12.542,0.062,2,48.6388233,8.942748
10.8,0.11,0.04,459.4,360.057,12.542,0.055,2,48.6388233,8.942748
10.9,0.11,0.06,459.4,359.973,12.542,0.053,2,48.6388235,8.942748
11.1,0.11,0.06,459.4,360.031,12.542,0.064,2,48.6388235,8.942748
11.3,0.11,0.06,459.4,359.991,12.542,0.061,2,48.6388235,8.942748
11.4,0.12,0.06,459.4,360.042,12.543,0.061,2,48.6388235,8.9427482
11.6,0.12,0.06,459.4,360.036,12.543,0.059,2,48.6388235,8.9427482
11.8,0.12,0.07,459.3,360.015,12.54,0.055,2,48.6388237,8.9427482
11.9,0.12,0.07,459.3,359.97,12.54,0.057,2,48.6388237,8.9427482
12.1,0.12,0.07,459.3,360.015,12.541,0.052,2,48.6388237,8.9427482
12.3,0.13,0.09,459.3,360.015,12.541,0.049,2,48.6388238,8.9427483
12.4,0.13,0.09,459.3,360.036,12.543,0.049,2,48.6388238,8.9427483
12.6,0.13,0.09,459.3,359.954,12.543,0.051,2,48.6388238,8.9427483
12.8,0.13,0.09,459.3,359.999,12.542,0.058,2,48.6388238,8.9427483
12.9,0.12,0.09,459.3,359.925,12.541,0.059,2,48.6388238,8.9427482
13.1,0.11,0.09,459.3,360.018,12.539,0.06,2,48.6388238,8.942748
13.3,0.11,0.09,459.3,360.036,12.541,0.056,2,48.6388238,8.942748
13.5,0.11,0.09,459.3,360.005,12.542,0.058,2,48.6388238,8.942748
13.6,0.11,0.09,459.3,360.055,12.542,0.057,2,48.6388238,8.942748
13.7,0.11,0.09,459.3,360.026,12.542,0.057,2,48.6388238,8.942748
13.8,0.1,0.09,459.3,360.06,12.542,0.054,2,48.6388238,8.9427478
13.9,0.1,0.09,459.3,359.901,12.542,0.049,2,48.6388238,8.9427478
14.0,0.1,0.09,459.3,359.952,12.541,0.05,2,48.6388238,8.9427478
14.2,0.1,0.09,459.3,359.894,12.541,0.054,2,48.6388238,8.9427478
14.3,0.1,0.09,459.3,360.131,12.541,0.055,2,48.6388238,8.9427478
14.4,0.1,0.09,459.3,360.097,12.542,0.053,2,48.6388238,8.9427478
14.5,0.1,0.09,459.3,360.047,12.542,0.055,2,48.6388238,8.9427478
14.6,0.1,0.09,459.3,359.92,12.541,0.053,2,48.6388238,8.9427478
14.7,0.1,0.09,459.3,360.073,12.542,0.048,2,48.6388238,8.9427478
14.8,0.1,0.09,459.3,360.102,12.542,0.042,2,48.6388238,8.9427478
14.9,0.1,0.09,459.3,360.065,12.543,0.041,2,48.6388238,8.9427478
15.0,0.1,0.09,459.3,359.986,12.543,0.052,2,48.6388238,8.9427478
15.2,0.1,0.09,459.3,360.068,12.542,0.055,2,48.6388238,8.9427478
15.3,0.09,0.09,459.3,359.983,12.541,0.059,2,48.6388238,8.9427477
15.4,0.09,0.09,459.3,360.023,12.54,0.063,2,48.6388238,8.9427477
15.5,0.09,0.09,459.3,360.079,12.54,0.057,2,48.6388238,8.9427477
15.6,0.09,0.09,459.4,360.026,12.541,0.05,2,48.6388238,8.9427477
15.8,0.09,0.09,459.4,360.036,12.541,0.047,2,48.6388238,8.9427477
15.9,0.07,0.09,459.4,360.071,12.541,0.051,2,48.6388238,8.9427475
16.0,0.07,0.09,459.4,360.015,12.541,0.049,2,48.6388238,8.9427475
16.2,0.07,0.09,459.4,359.973,12.541,0.045,2,48.6388238,8.9427475
16.3,0.06,0.09,459.4,360.036,12.541,0.044,2,48.6388238,8.9427473
16.4,0.06,0.09,459.4,360.06,12.542,0.053,2,48.6388238,8.9427473
16.5,0.06,0.09,459.4,359.994,12.542,0.058,2,48.6388238,8.9427473
16.6,0.06,0.07,459.4,359.875,12.543,0.059,2,48.6388237,8.9427473
16.7,0.06,0.07,459.4,359.946,12.542,0.058,2,48.6388237,8.9427473
16.8,0.07,0.07,459.4,360.084,12.543,0.059,2,48.6388237,8.9427475
16.9,0.07,0.07,459.4,360.079,12.543,0.056,2,48.6388237,8.9427475
17.0,0.07,0.07,459.5,360.118,12.542,0.055,2,48.6388237,8.9427475
17.2,0.09,0.06,459.5,360.108,12.541,0.051,2,48.6388235,8.9427477
17.3,0.07,0.06,459.5,360.139,12.542,0.054,2,48.6388235,8.9427475
17.4,0.09,0.06,459.5,360.065,12.541,0.054,2,48.6388235,8.9427477
17.5,0.09,0.06,459.5,360.049,12.541,0.064,2,48.6388235,8.9427477
17.6,0.09,0.06,459.5,360.015,12.54,0.065,2,48.6388235,8.9427477
17.7,0.1,0.06,459.5,359.994,12.541,0.067,2,48.6388235,8.9427478
17.8,0.11,0.04,459.5,360.094,12.54,0.061,2,48.6388233,8.942748
18.0,0.11,0.06,459.5,360.113,12.54,0.054,2,48.6388235,8.942748
18.2,0.11,0.06,459.5,360.068,12.54,0.058,2,48.6388235,8.942748
18.3,0.11,0.06,459.5,360.049,12.54,0.055,2,48.6388235,8.942748
18.5,0.12,0.06,459.5,360.137,12.543,0.049,2,48.6388235,8.9427482
18.7,0.13,0.06,459.5,360.142,12.543,0.051,2,48.6388235,8.9427483
18.8,0.13,0.06,459.5,360.081,12.543,0.047,2,48.6388235,8.9427483
19.0,0.13,0.06,459.5,360.166,12.541,0.052,2,48.6388235,8.9427483
19.2,0.15,0.06,459.5,359.983,12.542,0.052,2,48.6388235,8.9427485
19.4,0.16,0.06,459.5,360.092,12.542,0.053,2,48.6388235,8.9427487
19.6,0.16,0.07,459.5,360.073,12.541,0.059,2,48.6388237,8.9427487
19.7,0.17,0.07,459.5,360.123,12.54,0.054,2,48.6388237,8.9427488
19.9,0.18,0.06,459.5,360.049,12.541,0.049,2,48.6388235,8.942749
20.1,0.18,0.06,459.5,360.129,12.541,0.057,2,48.6388235,8.942749
20.3,0.18,0.07,459.5,360.1,12.542,0.059,2,48.6388237,8.942749
