t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,458.9,4.085,12.697,0.067,0.44,2,48.6388408,8.942735
0.1,-0.01,0.0,458.9,0.042,12.698,0.07,0.67,2,48.6388408,8.9427348
0.2,-0.01,0.02,458.9,0.079,12.698,0.073,0.88,2,48.638841,8.9427348
0.3,-0.04,0.02,458.9,0.095,12.698,0.077,0.44,2,48.638841,8.9427345
0.4,-0.05,0.02,458.9,-0.074,12.697,0.077,0.44,2,48.638841,8.9427343
0.5,-0.06,0.02,458.9,-0.132,12.698,0.07,0.44,2,48.638841,8.9427342
0.6,-0.07,0.02,458.9,0.013,12.698,0.068,0.44,2,48.638841,8.942734
0.7,-0.09,0.02,458.9,0.074,12.697,0.069,0.44,2,48.638841,8.9427338
0.8,-0.1,0.02,458.9,0.026,12.696,0.082,0.0,2,48.638841,8.9427337
1.0,-0.1,0.02,458.9,0.026,12.696,0.098,0.88,2,48.638841,8.9427337
1.1,-0.12,0.02,458.9,-0.058,12.696,0.098,0.0,2,48.638841,8.9427333
1.2,-0.12,0.02,458.9,-0.042,12.696,0.093,0.88,2,48.638841,8.9427333
1.3,-0.15,0.02,458.9,0.016,12.696,0.082,0.44,2,48.638841,8.942733
1.4,-0.16,0.02,458.9,0.016,12.697,0.085,0.88,2,48.638841,8.9427328
1.5,-0.18,0.02,458.8,-0.037,12.698,0.097,0.0,2,48.638841,8.9427325
1.6,-0.18,0.02,458.9,-0.011,12.697,0.108,0.88,2,48.638841,8.9427325
1.7,-0.21,0.02,458.8,0.016,12.696,0.114,0.0,2,48.638841,8.9427322
1.8,-0.21,0.02,458.8,-0.032,12.696,0.103,0.22,2,48.638841,8.9427322
2.0,-0.22,0.02,458.8,-0.058,12.696,0.092,1.48,2,48.638841,8.942732
2.1,-0.26,0.04,458.8,0.069,12.696,0.082,0.88,2,48.6388412,8.9427315
2.2,-0.28,0.04,458.8,0.135,12.696,0.073,0.88,2,48.6388412,8.9427312
2.3,-0.31,0.04,458.8,-0.032,12.697,0.077,0.44,2,48.6388412,8.9427308
2.4,-0.32,0.04,458.8,-0.011,12.697,0.073,1.11,2,48.6388412,8.9427307
2.5,-0.34,0.06,458.7,0.053,12.697,0.072,0.88,2,48.6388413,8.9427303
2.6,-0.37,0.06,458.7,0.137,12.696,0.064,0.88,2,48.6388413,8.94273
2.7,-0.39,0.06,458.7,0.071,12.696,0.063,0.44,2,48.6388413,8.9427297
2.8,-0.4,0.06,458.7,-0.063,12.696,0.065,0.44,2,48.6388413,8.9427295
3.0,-0.43,0.06,458.6,0.037,12.697,0.069,0.88,2,48.6388413,8.9427292
3.1,-0.45,0.06,458.6,0.053,12.697,0.071,0.55,2,48.6388413,8.9427288
3.3,-0.48,0.04,458.6,0.066,12.697,0.068,0.88,2,48.6388412,8.9427285
3.4,-0.5,0.04,458.6,-0.037,12.697,0.066,0.88,2,48.6388412,8.9427282
3.5,-0.53,0.04,458.5,-0.1,12.697,0.061,1.32,2,48.6388412,8.9427278
3.6,-0.56,0.04,458.5,0.1,12.697,0.062,0.88,2,48.6388412,8.9427273
3.7,-0.59,0.04,458.5,0.005,12.697,0.063,0.88,2,48.6388412,8.942727
3.8,-0.61,0.04,458.4,0.116,12.697,0.06,0.55,2,48.6388412,8.9427267
4.0,-0.64,0.02,458.4,0.114,12.697,0.071,1.88,2,48.638841,8.9427263
4.1,-0.69,0.04,458.4,0.058,12.697,0.067,1.41,2,48.6388412,8.9427257
4.2,-0.7,0.0,458.4,0.143,12.697,0.069,0.66,2,48.6388408,8.9427255
4.4,-0.73,0.0,458.4,0.145,12.696,0.07,0.88,2,48.6388408,8.942725
4.5,-0.76,0.0,458.3,0.103,12.696,0.068,1.11,2,48.6388408,8.9427247
4.6,-0.78,-0.02,458.3,0.003,12.696,0.065,0.88,2,48.6388407,8.9427243
4.7,-0.81,-0.02,458.2,0.045,12.697,0.061,1.32,2,48.6388407,8.942724
4.8,-0.84,-0.02,458.2,0.066,12.697,0.065,0.44,2,48.6388407,8.9427235
5.0,-0.87,-0.02,458.2,0.166,12.697,0.07,1.32,2,48.6388407,8.9427232
5.1,-0.91,-0.02,458.1,0.074,12.696,0.072,0.88,2,48.6388407,8.9427227
5.2,-0.93,-0.02,458.1,0.161,12.697,0.068,1.48,2,48.6388407,8.9427223
5.3,-0.97,0.0,458.0,0.166,12.697,0.071,1.48,2,48.6388408,8.9427218
5.4,-1.0,-0.02,458.0,0.314,12.697,0.068,0.88,2,48.6388407,8.9427213
5.5,-1.03,-0.02,458.0,0.267,12.696,0.07,1.48,2,48.6388407,8.942721
5.6,-1.07,0.0,457.9,0.164,12.696,0.071,0.88,2,48.6388408,8.9427205
5.7,-1.09,0.0,457.9,0.156,12.696,0.067,0.8,2,48.6388408,8.9427202
5.8,-1.1,-0.02,457.9,0.166,12.696,0.066,0.0,2,48.6388407,8.94272
