t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,461.0,1.044,12.566,0.065,0.0,2,48.6388293,8.9427378
0.2,0.0,0.0,461.0,0.018,12.566,0.068,0.22,2,48.6388293,8.9427378
0.4,-0.01,0.0,461.0,-0.085,12.566,0.07,0.66,2,48.6388293,8.9427377
0.5,-0.01,-0.02,460.9,-0.095,12.566,0.072,0.0,2,48.6388292,8.9427377
0.6,-0.01,-0.02,460.9,-0.116,12.566,0.068,0.22,2,48.6388292,8.9427377
0.8,0.0,-0.02,460.9,0.005,12.563,0.23,0.67,2,48.6388292,8.9427378
0.9,0.0,-0.04,460.9,-0.137,12.562,0.251,0.0,2,48.638829,8.9427378
1.1,0.0,-0.04,460.9,-0.085,12.565,0.088,0.22,2,48.638829,8.9427378
1.3,-0.01,-0.04,460.9,-0.074,12.564,0.249,0.0,2,48.638829,8.9427377
1.5,-0.01,-0.04,460.9,-0.069,12.563,0.319,0.67,2,48.638829,8.9427377
1.6,-0.01,-0.02,460.9,-0.026,12.563,0.317,0.67,2,48.6388292,8.9427377
1.7,-0.01,-0.04,460.9,-0.011,12.565,0.131,0.0,2,48.638829,8.9427377
1.8,-0.01,-0.04,460.9,0.026,12.566,0.072,0.44,2,48.638829,8.9427377
1.9,-0.02,-0.04,460.9,-0.016,12.565,0.076,0.44,2,48.638829,8.9427375
2.0,-0.01,-0.04,460.9,0.055,12.563,0.333,0.0,2,48.638829,8.9427377
2.1,-0.01,-0.04,460.9,-0.106,12.562,0.402,0.8,2,48.638829,8.9427377
2.2,0.0,-0.06,460.9,0.011,12.563,0.392,0.0,2,48.6388288,8.9427378
2.4,0.0,-0.06,460.9,0.005,12.564,0.195,0.0,2,48.6388288,8.9427378
2.5,0.0,-0.06,460.9,0.021,12.562,0.327,0.66,2,48.6388288,8.9427378
2.6,0.0,-0.07,460.9,0.011,12.56,0.46,0.44,2,48.6388287,8.9427378
2.7,0.01,-0.07,460.8,0.079,12.56,0.411,0.0,2,48.6388287,8.942738
2.8,0.01,-0.07,460.8,0.108,12.561,0.356,0.44,2,48.6388287,8.942738
2.9,0.0,-0.07,460.8,0.013,12.56,0.42,0.67,2,48.6388287,8.9427378
3.0,0.0,-0.09,460.8,0.048,12.559,0.511,0.0,2,48.6388285,8.9427378
3.1,0.0,-0.09,460.8,-0.053,12.559,0.57,0.44,2,48.6388285,8.9427378
3.2,0.01,-0.09,460.8,-0.079,12.559,0.536,0.0,2,48.6388285,8.942738
3.4,0.01,-0.09,460.8,-0.063,12.56,0.414,0.44,2,48.6388285,8.942738
3.5,0.02,-0.09,460.8,-0.095,12.562,0.254,0.0,2,48.6388285,8.9427382
3.6,0.02,-0.09,460.8,-0.095,12.565,0.089,0.67,2,48.6388285,8.9427382
3.7,0.02,-0.11,460.8,-0.1,12.565,0.062,0.0,2,48.6388283,8.9427382
3.8,0.02,-0.11,460.8,-0.106,12.565,0.065,0.0,2,48.6388283,8.9427382
3.9,0.02,-0.11,460.8,-0.174,12.564,0.069,0.44,2,48.6388283,8.9427382
4.0,0.04,-0.11,460.8,-0.127,12.565,0.069,0.66,2,48.6388283,8.9427383
4.1,0.04,-0.13,460.8,-0.132,12.564,0.071,0.44,2,48.6388282,8.9427383
4.2,0.02,-0.13,460.8,-0.227,12.564,0.074,0.44,2,48.6388282,8.9427382
4.4,0.0,-0.13,460.7,-0.222,12.565,0.08,0.0,2,48.6388282,8.9427378
4.5,0.0,-0.13,460.7,-0.28,12.565,0.076,0.4,2,48.6388282,8.9427378
4.7,-0.01,-0.15,460.7,-0.106,12.566,0.066,0.4,2,48.638828,8.9427377
4.9,-0.02,-0.17,460.7,-0.106,12.565,0.071,0.22,2,48.6388278,8.9427375
5.1,-0.04,-0.17,460.7,-0.106,12.564,0.076,0.33,2,48.6388278,8.9427373
5.3,-0.04,-0.19,460.7,-0.169,12.565,0.07,0.22,2,48.6388277,8.9427373
5.5,-0.05,-0.19,460.7,-0.185,12.565,0.069,0.33,2,48.6388277,8.9427372
5.7,-0.05,-0.2,460.6,-0.122,12.565,0.071,0.0,2,48.6388275,8.9427372
5.9,-0.05,-0.2,460.6,-0.185,12.565,0.072,0.22,2,48.6388275,8.9427372
6.1,-0.06,-0.2,460.6,-0.111,12.565,0.072,0.44,2,48.6388275,8.942737
6.2,-0.07,-0.2,460.6,-0.18,12.565,0.069,0.0,2,48.6388275,8.9427368
6.4,-0.07,-0.2,460.6,-0.264,12.566,0.066,0.0,2,48.6388275,8.9427368
6.6,-0.07,-0.2,460.6,-0.116,12.565,0.069,0.22,2,48.6388275,8.9427368
6.8,-0.09,-0.2,460.5,-0.106,12.565,0.071,0.67,2,48.6388275,8.9427367
6.9,-0.09,-0.19,460.5,-0.137,12.565,0.074,0.4,2,48.6388277,8.9427367
7.1,-0.1,-0.2,460.5,-0.111,12.564,0.076,0.22,2,48.6388275,8.9427365
7.3,-0.11,-0.2,460.5,-0.217,12.565,0.077,0.33,2,48.6388275,8.9427363
7.5,-0.11,-0.19,460.5,-0.174,12.565,0.072,0.22,2,48.6388277,8.9427363
